"date","geography","geography code","Living arrangements: Total; measures: Value","Living arrangements: Living in a couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Same-sex couple; measures: Value","Living arrangements: Living in a couple: Separated, but still married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Cohabiting; measures: Value","Living arrangements: Living in a couple: Cohabiting: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Cohabiting: Same-sex couple; measures: Value","Living arrangements: Not living in a couple; measures: Value","Living arrangements: Not living in a couple: Single (never married and never registered a same-sex civil partnership); measures: Value","Living arrangements: Not living in a couple: Married or in a registered civil partnership; measures: Value","Living arrangements: Not living in a couple: Separated (including those who are married and those who are in civil partnerships); measures: Value","Living arrangements: Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved; measures: Value","Living arrangements: Not living in a couple: Widowed or surviving partner from a civil partnership; measures: Value"
"2021","Staffordshire","E10000028",712217,451854,342913,341132,1781,573,108368,104118,4250,260363,152281,5348,11879,44949,45906
"2021","Warwickshire","E10000031",482802,299945,229232,227904,1328,418,70295,67593,2702,182857,110470,4625,8194,31166,28402
"2021","Birmingham","E08000025",863226,414572,326809,324752,2057,972,86791,81934,4857,448654,310273,21840,20317,52408,43816
"2021","Coventry","E08000026",264156,137586,104261,103743,518,254,33071,31403,1668,126570,85125,5183,5333,16941,13988
"2021","Dudley","E08000027",260607,153697,116330,115679,651,204,37163,35532,1631,106910,65628,2605,5044,16446,17187
"2021","Sandwell","E08000028",264046,139908,108079,107691,388,312,31517,30011,1506,124138,80258,5955,5985,16145,15795
"2021","Solihull","E08000029",173232,103910,84004,83666,338,188,19718,18940,778,69322,42853,1714,2784,10508,11463
"2021","Walsall","E08000030",221389,125012,95105,94695,410,234,29673,28436,1237,96377,60608,3494,4388,13462,14425
"2021","Wolverhampton","E08000031",205091,109329,83203,82787,416,190,25936,24786,1150,95762,61397,4065,4256,13373,12671
"2021","Worcestershire","E10000034",491678,309211,235755,234348,1407,419,73037,70068,2969,182467,106582,3886,8307,33185,30507
"2021","Bedford","E06000055",145851,86470,65844,65446,398,176,20450,19575,875,59381,36914,2131,2848,9715,7773
"2021","Central Bedfordshire","E06000056",234297,151652,114503,113797,706,271,36878,35686,1192,82645,50181,1852,4143,14486,11983
"2021","Luton","E06000032",170400,89651,72412,72208,204,210,17029,16304,725,80749,53225,5541,3667,10149,8167
"2021","Peterborough","E06000031",165384,94525,69195,68861,334,226,25104,24120,984,70859,44008,3141,3533,12099,8078
"2021","Southend-on-Sea","E06000033",144373,81393,58947,58479,468,140,22306,21234,1072,62980,38640,1376,3121,11580,8263
"2021","Thurrock","E06000034",135690,78816,58331,58146,185,227,20258,19588,670,56874,37124,2296,2730,8321,6403
"2021","Cambridgeshire","E10000003",534771,332191,252193,250347,1846,485,79513,76336,3177,202580,126316,5969,8864,33139,28292
"2021","Essex","E10000012",1209157,742792,566952,563960,2992,1393,174447,168098,6349,466365,279703,11112,20945,81422,73183
"2021","Hertfordshire","E10000015",945029,572757,448579,446311,2268,1136,123042,118391,4651,372272,235442,11240,16106,59521,49963
"2021","Norfolk","E10000020",750893,464869,345055,342268,2787,619,119195,114421,4774,286024,164760,6237,13007,53530,48490
"2021","Suffolk","E10000029",618798,387684,294962,292918,2044,564,92158,88590,3568,231114,131976,5509,11273,43714,38642
"2021","Camden","E09000007",170534,74109,50719,49303,1416,208,23182,21034,2148,96425,72187,4005,3394,11082,5757
"2021","City of London","E09000001",7821,3632,2157,1983,174,5,1470,1256,214,4189,3155,223,139,435,237
"2021","Hackney","E09000012",207142,83922,51132,49743,1389,330,32460,29430,3030,123220,95506,4513,5171,12346,5684
"2021","Hammersmith and Fulham","E09000013",152070,64832,43571,42621,950,175,21086,19560,1526,87238,66742,3411,2927,9606,4552
"2021","Haringey","E09000014",213843,95216,65405,64292,1113,399,29412,26925,2487,118627,85106,6161,5092,14907,7361
"2021","Islington","E09000019",178373,75209,43586,41882,1704,198,31425,28673,2752,103164,80906,2963,3519,10665,5111
"2021","Kensington and Chelsea","E09000020",120808,51673,39064,38266,798,148,12461,11408,1053,69135,48993,4137,2394,9148,4463
"2021","Lambeth","E09000022",264584,105176,61192,58661,2531,319,43665,39090,4575,159408,125052,6157,5842,15502,6855
"2021","Lewisham","E09000023",239751,110925,72101,70632,1469,423,38401,35207,3194,128826,94704,5245,5499,15629,7749
"2021","Newham","E09000025",273556,125896,96465,95658,807,464,28967,26409,2558,147660,104488,13673,5830,14632,9037
"2021","Southwark","E09000028",251037,102499,60839,58713,2126,440,41220,36928,4292,148538,113149,6390,6147,15735,7117
"2021","Tower Hamlets","E09000030",246800,108297,71188,69479,1709,201,36908,33184,3724,138503,109704,7331,4439,10462,6567
"2021","Wandsworth","E09000032",269066,129294,83810,82063,1747,238,45246,42320,2926,139772,108531,5203,4169,14150,7719
"2021","Westminster","E09000033",173396,70232,49599,48354,1245,269,20364,18454,1910,103164,75760,6404,3599,11524,5877
"2021","Barking and Dagenham","E09000002",160872,78586,61983,61733,250,309,16294,15572,722,82286,55421,5733,3867,10636,6629
"2021","Barnet","E09000003",306038,164065,135464,134688,776,504,28097,26403,1694,141973,94801,8622,5791,18900,13859
"2021","Bexley","E09000004",194624,110350,86124,85744,380,304,23922,22958,964,84274,54417,3052,3803,11994,11008
"2021","Brent","E09000005",271156,125727,102673,102031,642,391,22663,21111,1552,145429,98569,14288,5773,15354,11445
"2021","Bromley","E09000006",263449,156572,122404,121294,1110,366,33802,32014,1788,106877,69364,3162,4478,15856,14017
"2021","Croydon","E09000008",307115,156201,119911,118812,1099,507,35783,33706,2077,150914,103113,7216,6973,20135,13477
"2021","Ealing","E09000009",291194,146852,118051,117083,968,471,28330,26296,2034,144342,97381,12072,5406,17177,12306
"2021","Enfield","E09000010",255308,125097,102017,101542,475,563,22517,21332,1185,130211,86668,6825,6443,18053,12222
"2021","Greenwich","E09000011",225343,112319,79442,78228,1214,347,32530,30034,2496,113024,77771,6188,5670,14951,8444
"2021","Harrow","E09000015",207750,116963,103576,103328,248,310,13077,12424,653,90787,58717,8061,3211,9917,10881
"2021","Havering","E09000016",208234,119518,93976,93658,318,266,25276,24302,974,88716,57548,3370,3279,12164,12355
"2021","Hillingdon","E09000017",236400,131137,108852,108441,411,351,21934,20852,1082,105263,68684,7293,4105,13641,11540
"2021","Hounslow","E09000018",226957,118913,96948,96190,758,346,21619,20112,1507,108044,70020,9817,4667,13744,9796
"2021","Kingston upon Thames","E09000021",132112,77312,60705,60173,532,176,16431,15577,854,54800,37299,2368,2030,7537,5566
"2021","Merton","E09000024",171704,94350,72014,71243,771,278,22058,20785,1273,77354,53537,4427,2861,9757,6772
"2021","Redbridge","E09000026",240276,130842,112647,112189,458,363,17832,16898,934,109434,72770,9198,4220,12189,11057
"2021","Richmond upon Thames","E09000027",154006,94120,74392,73525,867,181,19547,18496,1051,59886,38745,2242,2512,9721,6666
"2021","Sutton","E09000029",164445,96868,76901,76447,454,271,19696,18752,944,67577,44240,2460,2834,9861,8182
"2021","Waltham Forest","E09000031",220455,111475,79309,78093,1216,340,31826,29506,2320,108980,75869,7331,4526,13321,7933
"2021","Bracknell Forest","E06000036",97974,61646,46725,46436,289,89,14832,14232,600,36328,22535,1068,1638,6606,4481
"2021","Brighton and Hove","E06000043",227178,114411,73891,70444,3447,204,40316,35810,4506,112767,82077,2359,3887,15510,8934
"2021","Isle of Wight","E06000046",116695,70010,53485,53047,438,91,16434,15840,594,46685,24822,1077,2283,9846,8657
"2021","Medway","E06000035",219042,128729,94338,93692,646,255,34136,32788,1348,90313,56058,2456,4684,15231,11884
"2021","Milton Keynes","E06000042",222785,131440,99156,98539,617,274,32010,30677,1333,91345,58227,3555,4734,15045,9784
"2021","Portsmouth","E06000044",164187,85663,59230,58568,662,181,26252,24898,1354,78524,52564,1908,3319,12682,8051
"2021","Reading","E06000038",136489,73780,53634,53224,410,165,19981,18973,1008,62709,43764,3300,2290,7712,5643
"2021","Slough","E06000039",118363,64491,54234,54086,148,174,10083,9665,418,53872,34397,4985,2469,7173,4848
"2021","Southampton","E06000045",194227,101665,70557,69945,612,237,30871,29146,1725,92562,63392,2939,3715,13775,8741
"2021","West Berkshire","E06000037",128721,83405,65783,65437,346,125,17497,16907,590,45316,27039,1091,2024,8193,6969
"2021","Windsor and Maidenhead","E06000040",120775,75173,60774,60316,458,136,14263,13566,697,45602,27410,1942,1938,7759,6553
"2021","Wokingham","E06000041",138219,92448,75478,75135,343,188,16782,16112,670,45771,28150,1480,1809,7418,6914
"2021","Buckinghamshire","E06000060",436887,278324,224095,223021,1074,502,53727,51652,2075,158563,96368,5660,6866,26037,23632
"2021","East Sussex","E10000011",447189,270215,206715,203873,2842,509,62991,59899,3092,176974,98511,4070,8446,35363,30584
"2021","Hampshire","E10000014",1131623,727241,570118,566504,3614,1049,156074,150149,5925,404382,232440,10393,18710,75451,67388
"2021","Kent","E10000016",1251849,764196,578048,573753,4295,1376,184772,177439,7333,487653,292477,13176,23057,84919,74024
"2021","Oxfordshire","E10000025",565879,348379,267292,265273,2019,559,80528,77048,3480,217500,138458,7426,8690,34148,28778
"2021","Surrey","E10000030",946660,594373,476121,473332,2789,1097,117155,112381,4774,352287,216618,11093,14817,57947,51812
"2021","West Sussex","E10000032",713810,442938,341106,338000,3106,742,101090,96526,4564,270872,155287,6901,12466,51345,44873
"2021","Bath and North East Somerset","E06000022",153990,89724,68209,67633,576,142,21373,20432,941,64266,43429,1290,2153,9214,8180
"2021","Bristol, City of","E06000023",375295,193311,125544,124097,1447,389,67378,63802,3576,181984,135350,4565,5860,21341,14868
"2021","Cornwall","E06000052",469633,289875,218747,216981,1766,416,70712,67762,2950,179758,100822,3833,7803,36295,31005
"2021","Isles of Scilly","E06000053",1705,1151,889,889,0,2,260,260,0,554,282,29,28,93,122
"2021","North Somerset","E06000024",176162,111110,85953,85367,586,173,24984,23938,1046,65052,36453,1457,3085,12906,11151
"2021","Plymouth","E06000026",211482,120152,85476,84782,694,198,34478,32626,1852,91330,56498,1739,4442,16847,11804
"2021","Bournemouth, Christchurch and Poole","E06000058",324636,187278,139787,138085,1702,312,47179,44633,2546,137358,83085,3132,5602,25903,19636
"2021","South Gloucestershire","E06000025",231986,146549,110642,110004,638,193,35714,34224,1490,85437,53959,1889,3479,13738,12372
"2021","Swindon","E06000030",185978,114091,86894,86386,508,218,26979,25814,1165,71887,43765,3095,3421,12429,9177
"2021","Torbay","E06000027",115015,66510,49793,49173,620,107,16610,15772,838,48505,26671,1131,2245,10379,8079
"2021","Wiltshire","E06000054",408094,264490,208741,207441,1300,417,55332,53246,2086,143604,81256,3296,7062,28015,23975
"2021","Devon","E10000008",664217,416252,321242,318908,2334,556,94454,90576,3878,247965,140188,5439,11315,47666,43357
"2021","Dorset","E06000059",315170,202763,161711,160643,1068,282,40770,39182,1588,112407,58478,2621,5185,22937,23186
"2021","Gloucestershire","E10000013",523059,326981,249159,247457,1702,438,77384,74224,3160,196078,116540,4144,8469,36010,30915
"2021","Somerset","E10000027",466829,294801,225037,223562,1475,367,69397,66696,2701,172028,95713,4259,8426,33696,29934
"2021","Isle of Anglesey","W06000001",56462,33405,25706,25588,118,38,7661,7335,326,23057,13133,569,895,4260,4200
"2021","Gwynedd","W06000002",94302,53168,38863,38611,252,51,14254,13592,662,41134,25701,1009,1439,6466,6519
"2021","Conwy","W06000003",94594,55318,42360,42044,316,44,12914,12282,632,39276,21788,945,1699,7570,7274
"2021","Denbighshire","W06000004",77369,44810,33960,33744,216,48,10802,10296,506,32559,18743,633,1503,6208,5472
"2021","Flintshire","W06000005",126613,77114,58380,58052,328,129,18605,17836,769,49499,28902,1053,2129,9238,8177
"2021","Wrexham","W06000006",107369,63261,46679,46415,264,63,16519,15771,748,44108,26622,972,1837,7929,6748
"2021","Powys","W06000023",111168,69153,53333,52985,348,64,15756,15164,592,42015,23195,1043,1906,7755,8116
"2021","Ceredigion","W06000008",57763,33810,25578,25356,222,40,8192,7804,388,23953,14655,574,814,3920,3990
"2021","Pembrokeshire","W06000009",100999,60440,46943,46653,290,81,13416,12846,570,40559,22607,928,1801,7692,7531
"2021","Carmarthenshire","W06000010",153225,92139,71219,70730,489,126,20794,19795,999,61086,34816,1379,2544,11510,10837
"2021","Swansea","W06000011",192715,103329,78606,78036,570,137,24586,23334,1252,89386,56295,1932,3716,14784,12659
"2021","Neath Port Talbot","W06000012",114046,64254,48992,48614,378,84,15178,14432,746,49792,29386,779,2169,9466,7992
"2021","Bridgend","W06000013",116893,69539,52545,52213,332,95,16899,16068,831,47354,27774,862,2029,8910,7779
"2021","Vale of Glamorgan","W06000014",105837,64027,49610,49114,496,92,14325,13546,779,41810,24453,824,1838,7845,6850
"2021","Cardiff","W06000015",280989,144242,104305,103228,1077,259,39678,36858,2820,136747,97372,3427,4687,17744,13517
"2021","Rhondda Cynon Taff","W06000016",191815,109429,79829,79201,628,134,29466,28132,1334,82386,51546,1421,3333,13570,12516
"2021","Merthyr Tydfil","W06000024",47235,26100,19252,19156,96,42,6806,6516,290,21135,13308,391,902,3380,3154
"2021","Caerphilly","W06000018",142592,83350,61777,61401,376,121,21452,20450,1002,59242,36050,951,2416,10440,9385
"2021","Blaenau Gwent","W06000019",54804,30433,21863,21735,128,30,8540,8164,376,24371,14696,418,1101,4264,3892
"2021","Torfaen","W06000020",74562,43911,32386,32166,220,70,11455,10837,618,30651,18207,465,1286,5696,4997
"2021","Monmouthshire","W06000021",76893,48843,39106,38850,256,52,9685,9345,340,28050,15319,637,1243,5476,5375
"2021","Newport","W06000022",126060,72079,53324,52906,418,146,18609,17620,989,53981,34037,1786,2310,8672,7176
