"date","geography","geography code","Living arrangements: Total; measures: Value","Living arrangements: Living in a couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Same-sex couple; measures: Value","Living arrangements: Living in a couple: Separated, but still married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Cohabiting; measures: Value","Living arrangements: Living in a couple: Cohabiting: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Cohabiting: Same-sex couple; measures: Value","Living arrangements: Not living in a couple; measures: Value","Living arrangements: Not living in a couple: Single (never married and never registered a same-sex civil partnership); measures: Value","Living arrangements: Not living in a couple: Married or in a registered civil partnership; measures: Value","Living arrangements: Not living in a couple: Separated (including those who are married and those who are in civil partnerships); measures: Value","Living arrangements: Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved; measures: Value","Living arrangements: Not living in a couple: Widowed or surviving partner from a civil partnership; measures: Value"
"2021","Epping Forest","E07000072",108964,65439,50762,50458,304,148,14529,13947,582,43525,27357,1325,1739,6784,6320
"2021","Harlow","E07000073",72746,40858,29242,29066,176,110,11506,11082,424,31888,20049,1042,1398,5547,3852
"2021","Maldon","E07000074",54939,35866,28102,27970,132,54,7710,7478,232,19073,10829,378,842,3507,3517
"2021","Rochford","E07000075",70418,45284,35759,35599,160,91,9434,9192,242,25134,14604,439,989,4300,4802
"2021","Tendring","E07000076",123238,73218,55982,55640,342,132,17104,16436,668,50020,26468,1127,2458,9754,10213
"2021","Uttlesford","E07000077",72714,48308,38257,38063,194,85,9966,9643,323,24406,14306,609,1174,4391,3926
"2021","Broxbourne","E07000095",79204,45095,34807,34683,124,133,10155,9854,301,34109,21778,903,1460,5311,4657
"2021","Dacorum","E07000096",121651,74513,57320,57000,320,146,17047,16400,647,47138,28787,1235,2307,8319,6490
"2021","Hertsmere","E07000098",85237,50017,41351,41174,177,118,8548,8204,344,35220,22361,1205,1314,5633,4707
"2021","North Hertfordshire","E07000099",106716,67086,51321,50999,322,94,15671,15049,622,39630,24097,827,1833,6781,6092
"2021","Three Rivers","E07000102",74361,45870,37810,37656,154,94,7966,7634,332,28491,17950,910,1072,4418,4141
"2021","Watford","E07000103",80251,45892,35948,35782,166,94,9850,9408,442,34359,22868,1872,1479,4743,3397
"2021","Breckland","E07000143",115449,75323,56453,56083,370,135,18735,18013,722,40126,22127,965,1991,7734,7309
"2021","Broadland","E07000144",109195,72340,56014,55664,350,84,16242,15670,572,36855,20153,689,1668,7129,7216
"2021","Great Yarmouth","E07000145",81767,47416,33972,33758,214,56,13388,12890,498,34351,19824,765,1518,6762,5482
