date,geography,geography code,Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census,"Occupation (current): 1. Managers, directors and senior officials",Occupation (current): 2. Professional occupations,Occupation (current): 3. Associate professional and technical occupations,Occupation (current): 4. Administrative and secretarial occupations,Occupation (current): 5. Skilled trades occupations,"Occupation (current): 6. Caring, leisure and other service occupations",Occupation (current): 7. Sales and customer service occupations,"Occupation (current): 8. Process, plant and machine operatives",Occupation (current): 9. Elementary occupations
2021,Manchester,E08000003,234283,20368,55875,31626,18837,15576,23595,21720,15035,31651
2021,Oldham,E08000004,98207,9616,14988,11314,9555,11144,10613,8596,9362,13019
2021,Rochdale,E08000005,94459,9745,15229,10969,9242,10016,10293,7893,8665,12407
2021,Salford,E08000006,127607,13594,26141,18314,13174,10448,11882,11281,7786,14987
2021,Stockport,E08000007,139806,19060,34321,20204,14126,11754,12151,11083,6958,10149
2021,Tameside,E08000008,105654,10510,15922,13385,11631,12334,10883,10159,9628,11202
2021,Trafford,E08000009,111558,16656,32126,16379,10964,7641,7792,7937,4475,7588
2021,Wigan,E08000010,154614,16153,25062,19252,15038,18014,16478,12747,14327,17543
2021,Knowsley,E08000011,69491,6008,10581,7912,7654,7330,8359,6612,6685,8350
2021,Liverpool,E08000012,205750,17700,42403,24736,21341,16279,21874,19228,15241,26948
2021,St. Helens,E08000013,82623,8359,14070,10274,8026,8658,9171,6827,7319,9919
2021,Sefton,E08000014,124597,14013,23148,15549,14788,12126,13734,10716,8653,11870
2021,Wirral,E08000015,139502,15549,27893,18147,14561,13501,15613,11599,9649,12990
2021,Barnsley,E08000016,111680,11251,15595,12169,9891,14042,11382,10172,11579,15599
2021,Doncaster,E08000017,137856,14029,17657,14672,12123,16094,14191,12211,14155,22724
2021,Rotherham,E08000018,117801,11944,17917,13092,11147,14872,12344,11216,11374,13895
2021,Sheffield,E08000019,242010,22723,56141,29427,21533,23579,23309,21710,16095,27493
2021,Newcastle upon Tyne,E08000021,125078,11448,30729,15060,11029,10037,11694,12573,7906,14602
2021,North Tyneside,E08000022,97266,9927,21780,13362,10743,8704,8832,9443,5848,8627
2021,South Tyneside,E08000023,62510,5586,10192,7793,6794,7005,6809,6132,5662,6537
2021,Sunderland,E08000024,117151,10421,17727,13207,12544,12235,12309,13422,11645,13641
2021,Birmingham,E08000025,442417,40972,93314,50205,41168,36872,45362,36475,38618,59431
2021,Coventry,E08000026,150145,12956,28834,17300,13652,13277,14380,12570,13271,23905
2021,Dudley,E08000027,144641,15322,24346,17362,15388,17996,14043,12177,12838,15169
2021,Sandwell,E08000028,141072,11162,19323,14486,13569,15431,14996,12778,17351,21976
2021,Solihull,E08000029,97939,14975,23824,12966,10523,8318,7498,6395,5550,7890
2021,Walsall,E08000030,118536,11430,17660,12590,11247,14409,12276,10354,12558,16012
2021,Wolverhampton,E08000031,111309,9649,17783,11566,10249,11420,12262,9025,12623,16732
2021,Bradford,E08000032,221137,22188,37854,25366,21385,23080,23590,20131,20912,26631
2021,Calderdale,E08000033,93381,11521,18183,12703,9120,10426,8829,6895,7165,8539
2021,Kirklees,E08000034,190087,22814,34891,24630,17154,20975,17830,15809,16929,19055
2021,Leeds,E08000035,374064,41589,85081,52009,35774,32376,34684,29948,22576,40027
2021,Wakefield,E08000036,164641,17223,24634,20031,15270,17587,15735,13016,16680,24465
