date,geography,geography code,Disability: Total: All usual residents,Disability: Disabled under the Equality Act,Disability: Disabled under the Equality Act: Day-to-day activities limited a lot,Disability: Disabled under the Equality Act: Day-to-day activities limited a little,Disability: Not disabled under the Equality Act,Disability: Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,Disability: Not disabled under the Equality Act: No long term physical or mental health conditions
2021,South Oxfordshire,E07000179,149085,20899,7339,13560,128186,12320,115866
2021,Vale of White Horse,E07000180,138913,20398,7114,13284,118515,11370,107145
2021,West Oxfordshire,E07000181,114237,17296,6160,11136,96941,9340,87601
2021,Mendip,E07000187,116089,20612,7907,12705,95477,9429,86048
2021,Sedgemoor,E07000188,125342,23987,9880,14107,101355,9321,92034
2021,South Somerset,E07000189,172672,31753,12159,19594,140919,13810,127109
2021,Cannock Chase,E07000192,100519,20325,8967,11358,80194,7124,73070
2021,East Staffordshire,E07000193,124019,20932,8263,12669,103087,8491,94596
2021,Lichfield,E07000194,106436,18944,7598,11346,87492,8252,79240
2021,Newcastle-under-Lyme,E07000195,123299,25611,10697,14914,97688,9205,88483
2021,South Staffordshire,E07000196,110472,20606,8395,12211,89866,8170,81696
2021,Stafford,E07000197,136867,24969,9856,15113,111898,11231,100667
2021,Staffordshire Moorlands,E07000198,95845,18822,8033,10789,77023,7535,69488
2021,Tamworth,E07000199,78647,14541,6106,8435,64106,5499,58607
2021,Babergh,E07000200,92341,16160,6161,9999,76181,7723,68458
2021,Ipswich,E07000202,139642,25165,10261,14904,114477,10012,104465
2021,Mid Suffolk,E07000203,102701,17539,6605,10934,85162,8865,76297
2021,Elmbridge,E07000207,138754,16565,6125,10440,122189,9514,112675
2021,Epsom and Ewell,E07000208,80938,10369,3825,6544,70569,5782,64787
2021,Guildford,E07000209,143651,19516,6725,12791,124135,11194,112941
2021,Mole Valley,E07000210,87386,13242,4925,8317,74144,7107,67037
2021,Reigate and Banstead,E07000211,150846,21065,8110,12955,129781,11326,118455
2021,Runnymede,E07000212,88080,12842,4802,8040,75238,6126,69112
2021,Spelthorne,E07000213,102956,14638,5824,8814,88318,6766,81552
2021,Surrey Heath,E07000214,90453,12268,4539,7729,78185,6652,71533
2021,Tandridge,E07000215,87874,13058,5104,7954,74816,6833,67983
2021,Waverley,E07000216,128229,18396,6533,11863,109833,10623,99210
2021,Woking,E07000217,103943,14142,5325,8817,89801,7676,82125
2021,North Warwickshire,E07000218,65032,12045,5229,6816,52987,4567,48420
2021,Nuneaton and Bedworth,E07000219,134197,25694,11203,14491,108503,8933,99570
2021,Rugby,E07000220,114363,18058,6878,11180,96305,8373,87932
2021,Stratford-on-Avon,E07000221,134725,21681,8013,13668,113044,11249,101795
2021,Warwick,E07000222,148453,22535,8237,14298,125918,12092,113826
2021,Adur,E07000223,64544,12577,5025,7552,51967,5189,46778
2021,Arun,E07000224,164889,32481,13150,19331,132408,13301,119107
2021,Chichester,E07000225,124068,20976,7888,13088,103092,10230,92862
2021,Crawley,E07000226,118493,17697,7222,10475,100796,7493,93303
2021,Horsham,E07000227,146779,21804,7881,13923,124975,12475,112500
2021,Mid Sussex,E07000228,152566,22063,7879,14184,130503,12819,117684
2021,Worthing,E07000229,111338,21303,8711,12592,90035,8923,81112
2021,Bromsgrove,E07000234,99183,16437,6587,9850,82746,7718,75028
2021,Malvern Hills,E07000235,79486,15144,5916,9228,64342,6618,57724
2021,Redditch,E07000236,87036,15304,6355,8949,71732,6335,65397
2021,Worcester,E07000237,103872,18195,6952,11243,85677,7965,77712
2021,Wychavon,E07000238,132492,22955,8957,13998,109537,10425,99112
2021,Wyre Forest,E07000239,101605,20459,8753,11706,81146,7889,73257
2021,St Albans,E07000240,148170,19128,6894,12234,129042,10944,118098
2021,Welwyn Hatfield,E07000241,119836,17906,6795,11111,101930,7936,93994
2021,East Hertfordshire,E07000242,150157,20462,7301,13161,129695,11254,118441
2021,Stevenage,E07000243,89495,15468,6303,9165,74027,6192,67835
2021,East Suffolk,E07000244,246058,50749,20846,29903,195309,20020,175289
2021,West Suffolk,E07000245,179949,29375,11212,18163,150574,13834,136740
2021,Somerset West and Taunton,E07000246,157445,30163,12109,18054,127282,12506,114776
2021,Bolton,E08000001,295963,53598,25479,28119,242365,17579,224786
2021,Bury,E08000002,193851,35886,15998,19888,157965,13699,144266
2021,Manchester,E08000003,551938,96737,45114,51623,455201,30299,424902
2021,Oldham,E08000004,242087,44249,20804,23445,197838,13607,184231
2021,Rochdale,E08000005,223773,42567,20069,22498,181206,13075,168131
2021,Salford,E08000006,269924,49818,23101,26717,220106,16785,203321
2021,Stockport,E08000007,294773,53493,22708,30785,241280,22811,218469
2021,Tameside,E08000008,231071,46209,21138,25071,184862,15119,169743
2021,Trafford,E08000009,235052,37550,15919,21631,197502,16996,180506
2021,Wigan,E08000010,329330,65868,30547,35321,263462,22739,240723
2021,Knowsley,E08000011,154519,34990,19089,15901,119529,8427,111102
2021,Liverpool,E08000012,486088,105962,54655,51307,380126,28650,351476
2021,St. Helens,E08000013,183248,40829,20030,20799,142419,12728,129691
2021,Sefton,E08000014,279234,61134,29863,31271,218100,19258,198842
2021,Wirral,E08000015,320200,73088,35274,37814,247112,23012,224100
2021,Barnsley,E08000016,244572,53916,25915,28001,190656,16220,174436
2021,Doncaster,E08000017,308109,62418,28996,33422,245691,20049,225642
2021,Rotherham,E08000018,265807,56177,26118,30059,209630,17948,191682
2021,Sheffield,E08000019,556521,109869,47351,62518,446652,40848,405804
2021,Newcastle upon Tyne,E08000021,300125,56961,25272,31689,243164,20507,222657
2021,North Tyneside,E08000022,208968,41748,18242,23506,167220,16016,151204
2021,South Tyneside,E08000023,147777,33368,16032,17336,114409,9848,104561
