from_id,to_id,travel_time
E00056233,non_FS_10,15.0
E00055586,non_FS_11,14.0
E00055586,non_FS_12,11.0
E00055579,non_FS_11,11.0
E00055579,non_FS_12,8.0
E00056211,non_FS_10,24.0
E00055583,non_FS_11,26.0
E00055583,non_FS_12,23.0
E00056699,non_FS_10,14.0
E00178649,non_FS_10,13.0
E00056655,non_FS_10,29.0
E00056655,non_FS_13,28.0
E00056664,non_FS_10,27.0
E00056658,non_FS_10,24.0
E00056234,non_FS_10,14.0
E00056648,non_FS_10,17.0
E00056698,non_FS_10,19.0
E00056690,non_FS_10,19.0
E00178650,non_FS_10,19.0
E00055537,non_FS_11,23.0
E00055537,non_FS_12,26.0
E00055534,non_FS_11,21.0
E00055534,non_FS_12,24.0
E00055536,non_FS_11,25.0
E00055536,non_FS_12,28.0
E00055509,non_FS_11,23.0
E00055509,non_FS_12,26.0
E00055582,non_FS_11,6.0
E00055582,non_FS_12,8.0
E00055584,non_FS_11,6.0
E00055584,non_FS_12,8.0
E00055528,non_FS_11,16.0
E00055528,non_FS_12,20.0
E00178677,non_FS_11,7.0
E00178677,non_FS_12,4.0
E00055585,non_FS_11,30.0
E00055585,non_FS_12,27.0
E00056235,non_FS_10,16.0
E00178638,non_FS_10,28.0
E00056232,non_FS_10,24.0
E00056210,non_FS_10,22.0
E00056230,non_FS_10,21.0
E00056231,non_FS_10,25.0
E00056228,non_FS_10,25.0
E00056229,non_FS_10,28.0
E00178666,non_FS_11,13.0
E00178666,non_FS_12,7.0
E00055531,non_FS_11,13.0
E00055531,non_FS_12,18.0
E00055529,non_FS_11,26.0
E00055529,non_FS_12,29.0
E00178676,non_FS_11,5.0
E00178676,non_FS_12,2.0
E00055508,non_FS_11,7.0
E00055508,non_FS_12,13.0
E00055524,non_FS_11,31.0
E00055523,non_FS_11,7.0
E00055523,non_FS_12,13.0
E00055521,non_FS_11,16.0
E00055521,non_FS_12,21.0
E00055575,non_FS_11,7.0
E00055575,non_FS_12,10.0
E00055574,non_FS_11,7.0
E00055574,non_FS_12,13.0
E00056691,non_FS_10,27.0
E00056691,non_FS_13,26.0
E00056696,non_FS_10,24.0
E00056696,non_FS_13,29.0
E00056686,non_FS_10,22.0
E00056689,non_FS_10,22.0
E00056688,non_FS_10,23.0
E00175517,non_FS_13,11.0
E00055777,non_FS_13,14.0
E00175516,non_FS_13,11.0
E00055771,non_FS_13,5.0
E00055730,non_FS_13,6.0
