from_id,to_id,travel_time
E00055542,9495,29.0
E00055542,10136,12.0
E00055542,11011,10.0
E00055511,934,16.0
E00055511,3906,9.0
E00055511,9495,28.0
E00055511,10136,9.0
E00055511,10528,22.0
E00055511,10730,25.0
E00055511,11011,22.0
E00055538,934,24.0
E00055538,3906,26.0
E00055538,10136,26.0
E00055538,10575,18.0
E00055538,11011,14.0
E00055540,934,15.0
E00055540,3906,8.0
E00055540,9495,27.0
E00055540,10136,8.0
E00055540,10528,23.0
E00055540,10730,25.0
E00055540,11011,20.0
E00055510,934,7.0
E00055510,3906,8.0
E00055510,9495,24.0
E00055510,10136,8.0
E00055510,10528,29.0
E00055510,10730,28.0
E00055510,11011,9.0
E00055535,934,8.0
E00055535,3906,2.0
E00055535,9495,22.0
E00055535,10136,2.0
E00055535,10528,23.0
E00055535,10730,23.0
E00055535,11011,14.0
E00055533,934,28.0
E00055533,10575,19.0
E00055533,11011,19.0
E00056242,10528,25.0
E00055595,934,25.0
E00055595,3906,18.0
E00055595,10136,18.0
E00055595,10528,12.0
E00055566,3906,24.0
E00055566,10136,24.0
E00055566,10528,5.0
E00056239,10528,13.0
E00055592,3906,26.0
E00055592,10136,26.0
E00055592,10528,7.0
E00056243,10528,22.0
E00055590,934,17.0
E00055590,3906,10.0
E00055590,9495,26.0
E00055590,10136,10.0
E00055590,10528,13.0
E00055590,10730,23.0
E00055590,11011,23.0
E00055589,934,13.0
E00055589,3906,7.0
E00055589,9495,22.0
E00055589,10136,7.0
E00055589,10528,17.0
E00055589,10730,20.0
E00055589,11011,20.0
E00055588,934,21.0
E00055588,3906,14.0
E00055588,10136,14.0
E00055588,10528,9.0
E00055588,10730,24.0
E00055588,11011,27.0
E00055591,934,24.0
E00055591,3906,18.0
E00055591,10136,18.0
E00055591,10528,6.0
E00055591,10730,26.0
E00178640,10528,10.0
E00056212,10528,22.0
E00055580,934,25.0
E00055580,3906,20.0
E00055580,10136,20.0
E00055580,10528,2.0
E00055580,10730,26.0
E00056236,10528,21.0
E00056233,10528,26.0
E00055586,934,18.0
E00055586,3906,16.0
E00055586,9495,27.0
E00055586,10136,16.0
E00055586,10528,13.0
E00055586,10730,20.0
E00055586,11011,28.0
E00055579,934,15.0
E00055579,3906,14.0
E00055579,9495,24.0
E00055579,10136,14.0
E00055579,10528,13.0
E00055579,10730,18.0
E00055579,11011,26.0
E00056211,10528,15.0
E00055583,3906,25.0
E00055583,10136,25.0
E00055583,10528,3.0
E00055583,10730,29.0
E00056690,5648,29.0
E00056690,9447,29.0
E00055539,934,25.0
E00055539,3906,29.0
E00055539,10136,29.0
E00055539,10575,20.0
E00055539,11011,16.0
E00055537,934,17.0
E00055537,3906,20.0
E00055537,10136,20.0
E00055537,10575,24.0
E00055537,11011,8.0
E00055534,934,15.0
E00055534,3906,19.0
E00055534,9495,29.0
E00055534,10136,19.0
E00055534,10575,28.0
E00055534,11011,6.0
E00055536,934,18.0
E00055536,3906,22.0
E00055536,10136,22.0
E00055536,10575,25.0
E00055536,11011,11.0
E00055509,934,16.0
E00055509,3906,20.0
E00055509,10136,20.0
E00055509,10575,28.0
E00055509,11011,10.0
E00055582,934,8.0
E00055582,3906,3.0
E00055582,9495,19.0
E00055582,10136,3.0
E00055582,10528,24.0
E00055582,10730,19.0
E00055582,11011,16.0
E00055584,934,8.0
E00055584,3906,5.0
E00055584,9495,19.0
E00055584,10136,5.0
E00055584,10528,22.0
E00055584,10730,19.0
E00055584,11011,18.0
E00055532,934,23.0
E00055532,3906,27.0
E00055532,10136,27.0
E00055532,10575,25.0
E00055532,11011,15.0
E00055528,934,11.0
E00055528,3906,16.0
E00055528,9495,20.0
E00055528,10136,16.0
E00055528,10730,28.0
E00055528,11011,12.0
E00178677,934,11.0
E00178677,3906,13.0
E00178677,9495,20.0
E00178677,10136,13.0
E00178677,10528,24.0
E00178677,10730,15.0
E00178677,11011,21.0
E00055585,3906,29.0
E00055585,10136,29.0
E00055585,10528,6.0
E00178638,10528,10.0
E00056232,10528,18.0
E00056210,10528,27.0
E00056230,5648,28.0
E00056230,9447,28.0
E00056231,10528,20.0
E00056228,10528,24.0
E00056229,10528,17.0
E00178666,934,17.0
E00178666,3906,19.0
E00178666,9495,26.0
E00178666,10136,19.0
E00178666,10528,19.0
E00178666,10730,12.0
E00178666,11011,27.0
E00055531,934,9.0
E00055531,3906,14.0
E00055531,9495,18.0
E00055531,10136,14.0
E00055531,10730,25.0
E00055531,11011,10.0
E00055529,934,20.0
E00055529,3906,23.0
E00055529,9495,27.0
E00055529,10136,23.0
E00055529,10575,29.0
E00055529,11011,13.0
E00178676,934,9.0
E00178676,3906,11.0
E00178676,9495,18.0
E00178676,10136,11.0
E00178676,10528,22.0
E00178676,10730,13.0
E00178676,11011,19.0
E00055526,934,30.0
E00055526,10575,30.0
E00055526,11011,21.0
E00055508,934,11.0
E00055508,3906,16.0
E00055508,9495,15.0
E00055508,10136,16.0
E00055508,10730,20.0
E00055508,11011,18.0
E00055524,934,24.0
E00055524,3906,27.0
E00055524,9495,28.0
E00055524,10136,27.0
E00055524,11011,17.0
E00055523,934,11.0
