date,geography,geography code,National identity: Total: All usual residents,National identity: British only identity,National identity: English only identity,National identity: English and British only identity,National identity: Welsh only identity,National identity: Welsh and British only identity,National identity: Any other combination of only UK identities,National identity: Scottish only identity,National identity: Scottish and British only identity,National identity: Northern Irish only identity,National identity: Northern Irish and British only identity,National identity: Cornish only identity,National identity: Cornish and British only identity,National identity: Any other combination of only UK identities ,National identity: Irish only identity,National identity: Irish and at least one UK identity,National identity: Other identity only,National identity: Other identity and at least one UK identity,National identity: Non-UK identity only,National identity: UK identity and non-UK identity
2021,Eastbourne,E07000061,101684,55669,18041,15514,287,126,1069,486,205,152,68,4,2,152,513,123,8647,1695,9160,1818
2021,Hastings,E07000062,90995,52718,15478,13694,215,95,810,383,122,119,41,8,1,136,384,108,6085,1408,6469,1516
2021,Lewes,E07000063,99909,58363,17859,15182,300,152,1012,423,206,133,51,16,6,177,403,152,4609,1877,5012,2029
2021,Rother,E07000064,93111,53151,20357,13969,279,97,791,322,173,99,56,8,4,129,383,87,3044,953,3427,1040
2021,Wealden,E07000065,160154,92690,31684,25701,478,201,1456,591,343,166,77,13,3,263,562,159,5255,1968,5817,2127
2021,Basildon,E07000066,187570,100068,40469,31199,312,117,1035,457,207,126,47,4,1,193,804,126,11200,2240,12004,2366
2021,Braintree,E07000067,155266,85076,33722,27108,289,143,1226,559,225,161,69,10,0,202,621,131,5559,1391,6180,1522
2021,Brentwood,E07000068,77051,42845,15869,11827,168,104,581,233,115,85,32,2,0,114,569,93,3840,1155,4409,1248
2021,Castle Point,E07000069,89592,47046,24479,15164,126,47,421,196,73,57,15,3,0,77,304,51,1492,462,1796,513
2021,Chelmsford,E07000070,181523,100790,34337,29350,427,178,1469,558,325,201,97,10,3,275,968,208,10905,2891,11873,3099
2021,Colchester,E07000071,192714,106398,31990,31708,442,195,1945,813,414,247,112,19,3,337,877,186,15409,3564,16286,3750
2021,Epping Forest,E07000072,134981,76614,27728,17797,225,114,848,360,171,115,42,9,1,150,871,157,8435,2192,9306,2349
2021,Harlow,E07000073,93328,48877,17608,13762,144,56,526,241,89,77,22,8,1,88,428,47,10452,1428,10880,1475
2021,Maldon,E07000074,66207,36466,16103,11085,125,71,425,214,75,46,21,12,1,56,256,46,1224,406,1480,452
2021,Rochford,E07000075,85660,46833,21420,14739,169,56,485,234,86,55,25,4,0,81,260,47,1188,463,1448,510
2021,Tendring,E07000076,148295,78075,37979,26101,284,117,1113,545,211,137,40,4,2,174,583,100,3032,911,3615,1011
2021,Uttlesford,E07000077,91339,52862,17003,14432,277,152,973,397,226,107,69,11,0,163,460,119,3799,1262,4259,1381
2021,Cheltenham,E07000078,118837,66195,16479,19370,1190,610,1822,628,366,188,112,48,13,467,540,170,9734,2727,10274,2897
2021,Cotswold,E07000079,90834,52648,16293,14472,689,333,1169,453,242,108,70,33,3,260,338,95,3516,1281,3854,1376
2021,Forest of Dean,E07000080,87006,48170,16184,15362,2155,863,917,304,124,74,43,32,2,338,170,47,2401,737,2571,784
2021,Gloucester,E07000081,132416,73230,20979,22009,1278,496,1284,456,223,138,66,40,3,358,462,82,10570,2026,11032,2108
2021,Stroud,E07000082,121106,70674,20724,20253,1080,482,1352,521,244,145,54,42,10,336,371,128,4129,1913,4500,2041
2021,Tewkesbury,E07000083,94886,53501,16102,17378,899,468,1221,458,270,110,61,34,7,281,283,77,3834,1123,4117,1200
2021,Basingstoke and Deane,E07000084,185151,102635,29841,30406,789,447,2124,845,485,211,108,45,10,420,740,209,14466,3494,15206,3703
2021,East Hampshire,E07000085,125744,73991,21391,20563,496,255,1460,538,386,128,79,18,0,311,383,164,5208,1833,5591,1997
2021,Eastleigh,E07000086,136442,81056,22001,23332,508,231,1275,510,303,121,60,28,3,250,362,90,5701,1886,6063,1976
2021,Fareham,E07000087,114513,66985,21216,19521,544,250,1494,651,365,148,90,28,4,208,263,81,2949,1210,3212,1291
2021,Gosport,E07000088,81950,47066,15444,14265,404,174,1317,663,295,108,74,14,2,161,141,45,2436,658,2577,703
2021,Hart,E07000089,99409,57372,16471,16115,556,324,1437,563,351,142,93,17,6,265,463,91,4715,1865,5178,1956
2021,Havant,E07000090,124205,72410,23799,21984,378,184,1099,506,257,90,56,13,0,177,272,51,3129,899,3401,950
2021,New Forest,E07000091,175785,101079,34902,29333,851,367,1799,739,391,180,79,49,8,353,442,132,5049,1831,5491,1963
2021,Rushmoor,E07000092,99757,52737,15307,13947,368,188,1199,517,268,121,59,18,5,211,362,101,13347,2201,13709,2302
2021,Test Valley,E07000093,130492,75243,21681,22031,595,317,1610,613,384,148,105,30,8,322,329,94,6646,1946,6975,2040
2021,Winchester,E07000094,127443,75601,18266,20939,636,331,1774,597,440,191,144,33,5,364,495,167,6603,2631,7098,2798
2021,Broxbourne,E07000095,99003,54548,20289,11716,125,59,491,218,76,91,18,7,0,81,694,119,9119,1843,9813,1962
2021,Dacorum,E07000096,155083,88656,26727,22155,423,244,1560,655,315,184,103,12,3,288,1132,252,10889,3045,12021,3297
2021,Hertsmere,E07000098,107826,63984,15101,12132,252,106,789,297,162,145,42,5,0,138,1258,166,11253,2785,12511,2951
2021,North Hertfordshire,E07000099,133210,77647,22230,19991,438,265,1644,716,352,177,86,17,7,289,943,182,7000,2870,7943,3052
2021,Three Rivers,E07000102,93773,55080,15284,11668,246,123,930,350,207,147,42,8,1,175,1026,188,6941,2287,7967,2475
2021,Watford,E07000103,102246,57141,11827,8548,206,89,775,307,153,130,49,6,4,126,1260,179,18676,3545,19936,3724
2021,Ashford,E07000105,132749,74598,23938,20606,298,120,1028,446,212,133,40,10,3,184,459,110,9406,2186,9865,2296
2021,Canterbury,E07000106,157426,87391,27778,23965,393,188,1617,618,265,255,112,34,2,331,715,268,11778,3333,12493,3601
2021,Dartford,E07000107,116755,64541,21435,15581,157,54,569,232,89,93,39,3,2,111,542,91,11125,2660,11667,2751
2021,Dover,E07000108,116411,67234,21397,19229,371,132,1119,549,210,121,52,13,4,170,354,105,5228,1242,5582,1347
2021,Gravesham,E07000109,106899,59232,18936,14013,166,54,543,221,111,89,25,2,0,95,551,71,11536,1797,12087,1868
2021,Maidstone,E07000110,175781,97489,32366,26523,446,159,1228,508,247,145,68,32,6,222,611,147,14188,2624,14799,2771
2021,Sevenoaks,E07000111,120512,67675,24214,18129,270,147,1183,396,284,161,79,22,2,239,602,159,5860,2273,6462,2432
2021,Folkestone and Hythe,E07000112,109757,61115,22009,17158,294,119,1073,485,208,127,64,16,3,170,411,96,6139,1343,6550,1439
2021,Swale,E07000113,151674,84632,31620,25317,277,129,935,412,157,138,56,16,2,154,511,92,6684,1477,7195,1569
2021,Thanet,E07000114,140588,79323,27740,21809,389,147,1160,540,200,134,67,6,1,212,617,122,7686,1595,8303,1717
2021,Tonbridge and Malling,E07000115,132203,76083,25676,21044,313,149,1104,424,235,123,66,13,1,242,499,133,5121,2081,5620,2214
2021,Tunbridge Wells,E07000116,115315,67200,17993,17467,292,164,1224,442,256,154,80,12,6,274,488,200,7821,2466,8309,2666
2021,Burnley,E07000117,94652,54152,16498,15053,139,39,893,426,173,146,44,4,0,100,241,37,6643,957,6884,994
2021,Chorley,E07000118,117732,68433,20392,23037,315,138,1315,569,281,209,74,2,0,180,343,60,2858,841,3201,901
2021,Fylde,E07000119,81374,47561,14338,14366,259,127,1568,816,410,144,64,7,1,126,266,48,2243,598,2509,646
2021,Hyndburn,E07000120,82234,48297,14694,13841,129,39,878,401,134,200,46,2,0,95,172,33,3317,834,3489,867
2021,Lancaster,E07000121,142932,80494,21238,25993,589,282,2400,1096,500,329,122,14,5,334,438,141,9235,2122,9673,2263
2021,Pendle,E07000122,95758,56426,14018,12934,109,44,702,332,131,94,43,0,4,98,173,25,10134,1193,10307,1218
2021,Preston,E07000123,147836,86698,17634,21938,319,132,1709,736,302,337,107,6,3,218,582,104,16280,2440,16862,2544
2021,Ribble Valley,E07000124,61561,35834,11436,11650,119,59,630,267,152,84,30,4,0,93,179,45,1142,467,1321,512
2021,Rossendale,E07000125,70870,42181,13135,12625,143,60,619,284,107,107,31,2,0,88,232,59,1374,442,1606,501
2021,South Ribble,E07000126,111032,65363,18788,21672,262,99,1263,591,266,201,64,5,1,135,345,67,2476,697,2821,764
2021,West Lancashire,E07000127,117431,69478,18795,21731,413,152,1149,448,160,260,99,16,1,165,375,83,4439,816,4814,899
2021,Wyre,E07000128,111946,65206,20910,21201,288,113,1489,781,347,135,67,2,0,157,243,48,1841,607,2084,655
2021,Blaby,E07000129,102925,57546,21465,16855,263,112,713,325,164,79,28,3,0,114,288,55,4505,1123,4793,1178
2021,Charnwood,E07000130,183965,104104,33466,28799,698,294,1763,715,313,206,114,26,0,389,578,157,10904,3202,11482,3359
2021,Harborough,E07000131,97625,56316,19647,15371,408,173,1126,497,230,122,51,15,2,209,292,85,3103,1104,3395,1189
2021,Hinckley and Bosworth,E07000132,113639,61360,25735,20061,371,150,1031,467,215,91,42,10,0,206,278,65,3679,909,3957,974
2021,Melton,E07000133,51748,28725,10763,9148,162,67,590,290,128,66,23,8,1,74,146,40,1700,407,1846,447
2021,North West Leicestershire,E07000134,104704,56915,22669,18866,309,151,1077,503,221,101,54,16,4,178,258,62,3574,823,3832,885
2021,Oadby and Wigston,E07000135,57748,34991,9533,7386,126,36,382,176,64,38,26,7,0,71,206,40,3780,1268,3986,1308
2021,Boston,E07000136,70502,29197,13534,11479,111,40,413,201,81,43,32,7,0,49,82,14,14665,967,14747,981
2021,East Lindsey,E07000137,142296,76180,33378,27168,374,147,1386,724,275,142,70,16,1,158,250,45,2618,750,2868,795
2021,Lincoln,E07000138,103814,53159,16225,19822,261,114,1180,536,217,121,59,10,1,236,363,80,10949,1661,11312,1741
2021,North Kesteven,E07000139,118071,66391,23581,21359,468,262,1808,836,436,191,121,24,5,195,264,75,3005,858,3269,933
2021,South Holland,E07000140,95123,44310,21241,16425,189,80,737,372,154,82,31,6,0,92,164,37,10880,1060,11044,1097
2021,South Kesteven,E07000141,143403,78831,28584,24690,463,231,1728,827,387,168,87,13,2,244,349,89,6809,1629,7158,1718
2021,West Lindsey,E07000142,95153,53577,19074,18222,279,123,1079,507,276,94,60,6,0,136,203,50,1974,572,2177,622
2021,Breckland,E07000143,141479,72742,30513,23944,410,175,1242,575,269,121,53,20,1,203,351,55,10541,1506,10892,1561
2021,Broadland,E07000144,131721,74743,26429,24108,292,124,1110,535,238,112,59,9,1,156,262,77,3414,1162,3676,1239
2021,Great Yarmouth,E07000145,99749,49818,22377,18596,162,62,722,385,139,68,26,6,0,98,210,33,7064,705,7274,738
2021,King's Lynn and West Norfolk,E07000146,154323,77749,33993,27803,366,144,1279,613,236,146,65,17,2,200,335,58,11136,1460,11471,1518
2021,North Norfolk,E07000147,102980,55150,24627,18631,247,119,933,423,214,85,42,11,0,158,217,56,2192,808,2409,864
2021,Norwich,E07000148,143920,76352,19434,24051,316,146,1431,583,267,141,88,26,9,317,518,216,17840,3616,18358,3832
2021,South Norfolk,E07000149,141951,80121,27273,25372,318,174,1258,583,253,132,69,9,2,210,272,98,5184,1881,5456,1979
2021,Craven,E07000163,56929,33442,10211,10238,106,56,610,291,124,60,30,3,0,102,130,40,1479,617,1609,657
2021,Hambleton,E07000164,90694,54092,15712,16302,258,150,1459,720,400,117,77,9,5,131,200,41,1885,595,2085,636
2021,Harrogate,E07000165,162666,97540,24241,26889,449,247,2694,1340,687,235,114,18,1,299,486,158,7815,2147,8301,2305
2021,Richmondshire,E07000166,49772,28736,8331,8559,170,75,1242,656,308,95,78,2,1,102,105,35,2094,425,2199,460
2021,Ryedale,E07000167,54703,31648,10107,9885,112,55,641,339,133,52,27,9,1,80,128,52,1634,441,1762,493
2021,Scarborough,E07000168,108736,61207,20326,20741,198,77,1253,702,269,83,47,2,1,149,140,51,3933,810,4073,861
2021,Selby,E07000169,91989,53967,15386,17379,239,104,978,481,240,94,51,5,0,107,180,49,2932,775,3112,824
2021,Ashfield,E07000170,126297,67555,28514,23663,209,72,767,364,142,105,41,8,1,106,144,40,4478,855,4622,895
2021,Bassetlaw,E07000171,117804,66117,23101,21144,256,97,990,557,201,81,38,1,0,112,165,33,5022,879,5187,912
2021,Broxtowe,E07000172,110941,60736,22374,17593,350,173,1128,486,210,118,66,19,2,227,335,113,6320,1819,6655,1932
2021,Gedling,E07000173,117262,67050,24578,18035,269,104,977,482,162,135,40,12,1,145,460,106,4397,1286,4857,1392
2021,Mansfield,E07000174,110481,58531,22051,19032,204,62,815,433,135,91,33,3,1,119,211,37,8493,1045,8704,1082
2021,Newark and Sherwood,E07000175,122957,69452,23720,21025,357,166,1241,625,289,108,55,8,2,154,288,83,5513,1112,5801,1195
2021,Rushcliffe,E07000176,119075,70708,20400,18404,540,258,1549,647,360,182,82,15,2,261,531,145,4528,2012,5059,2157
2021,Cherwell,E07000177,161014,87921,25880,22698,728,378,1971,802,384,222,104,33,5,421,698,187,16981,3572,17679,3759
2021,Oxford,E07000178,162040,79325,13814,17544,789,375,2473,760,495,262,159,32,11,754,1320,545,37058,8797,38378,9342
2021,South Oxfordshire,E07000179,149084,84967,23345,23132,903,442,2027,783,486,179,115,31,8,425,767,198,9805,3498,10572,3696
