date,geography,geography code,General Health: Very good health,General Health: Good health,General Health: Fair health,General Health: Bad health,General Health: Very bad health
2021,West Berkshire,E06000037,50.9,34.8,10.9,2.7,0.7
2021,Reading,E06000038,46.8,35.6,12.9,3.7,1.0
2021,Slough,E06000039,44.7,35.5,14.3,4.3,1.2
2021,Windsor and Maidenhead,E06000040,55.2,32.2,9.5,2.4,0.7
2021,Wokingham,E06000041,53.5,34.0,9.7,2.2,0.6
2021,Milton Keynes,E06000042,47.4,34.8,12.8,3.8,1.1
2021,Brighton and Hove,E06000043,48.7,33.1,12.6,4.3,1.3
2021,Portsmouth,E06000044,44.4,35.5,14.3,4.4,1.3
2021,Southampton,E06000045,43.9,35.9,14.2,4.6,1.4
2021,Isle of Wight,E06000046,43.8,36.1,14.3,4.5,1.3
2021,County Durham,E06000047,43.7,33.9,15.2,5.6,1.7
2021,Cheshire East,E06000049,51.3,32.9,11.4,3.4,1.0
2021,Cheshire West and Chester,E06000050,49.6,33.1,12.2,3.9,1.1
2021,Shropshire,E06000051,49.6,33.9,12.1,3.5,1.0
2021,Cornwall,E06000052,48.3,32.9,13.2,4.3,1.3
2021,Isles of Scilly,E06000053,56.6,31.0,9.1,2.5,0.8
2021,Wiltshire,E06000054,50.5,34.0,11.6,3.2,0.8
2021,Bedford,E06000055,46.9,35.7,12.6,3.7,1.0
2021,Central Bedfordshire,E06000056,49.4,34.9,11.7,3.1,0.9
2021,Northumberland,E06000057,46.8,33.8,13.9,4.3,1.2
2021,"Bournemouth, Christchurch and Poole",E06000058,48.4,34.1,12.6,3.9,1.1
2021,Dorset,E06000059,49.2,34.5,12.0,3.3,0.9
2021,Buckinghamshire,E06000060,52.5,33.7,10.5,2.6,0.7
2021,North Northamptonshire,E06000061,45.1,36.2,13.6,4.0,1.1
2021,West Northamptonshire,E06000062,47.6,35.6,12.3,3.5,0.9
2021,Bolton,E08000001,45.5,33.7,14.1,5.1,1.6
2021,Bury,E08000002,46.9,33.6,13.7,4.5,1.3
2021,Manchester,E08000003,43.2,32.3,15.8,6.6,2.2
2021,Oldham,E08000004,43.4,34.0,15.5,5.5,1.6
2021,Rochdale,E08000005,44.1,33.8,15.0,5.5,1.5
2021,Salford,E08000006,45.1,32.9,14.6,5.7,1.7
2021,Stockport,E08000007,49.3,32.9,12.5,4.0,1.2
2021,Tameside,E08000008,43.8,34.2,15.1,5.4,1.6
2021,Trafford,E08000009,51.5,31.8,11.8,3.7,1.1
2021,Wigan,E08000010,45.9,33.6,14.2,4.9,1.4
2021,Knowsley,E08000011,45.7,30.6,14.7,6.8,2.2
2021,Liverpool,E08000012,44.6,31.3,14.9,6.9,2.3
2021,St. Helens,E08000013,45.5,32.7,14.4,5.7,1.7
2021,Sefton,E08000014,48.4,31.9,13.3,4.9,1.5
2021,Wirral,E08000015,47.4,32.1,13.6,5.3,1.6
2021,Barnsley,E08000016,43.2,33.8,15.6,5.8,1.7
2021,Doncaster,E08000017,43.9,34.4,14.8,5.3,1.6
2021,Rotherham,E08000018,43.7,34.4,14.8,5.4,1.6
2021,Sheffield,E08000019,44.5,34.4,14.5,5.1,1.5
2021,Newcastle upon Tyne,E08000021,44.6,33.0,15.0,5.7,1.8
2021,North Tyneside,E08000022,46.6,33.3,14.2,4.7,1.3
2021,South Tyneside,E08000023,44.4,33.1,15.1,5.7,1.7
2021,Sunderland,E08000024,43.6,33.1,15.6,6.0,1.8
