"date","geography","geography code","Household size: Total: All household spaces; measures: Value","Household size: 0 people in household; measures: Value","Household size: 1 person in household; measures: Value","Household size: 2 people in household; measures: Value","Household size: 3 people in household; measures: Value","Household size: 4 people in household; measures: Value","Household size: 5 people in household; measures: Value","Household size: 6 people in household; measures: Value","Household size: 7 people in household; measures: Value","Household size: 8 or more people in household; measures: Value"
"2021","North West Leicestershire","E07000134",44972,0,12497,17024,7367,5754,1667,490,118,55
"2021","Oadby and Wigston","E07000135",22617,0,6347,7306,3760,3329,1251,415,134,75
"2021","Boston","E07000136",29402,0,8089,10784,4822,3763,1393,372,124,55
"2021","East Lindsey","E07000137",64754,0,19800,27693,8643,5691,2023,586,214,104
"2021","Lincoln","E07000138",42506,0,14137,14441,6509,4789,1665,619,216,130
"2021","North Kesteven","E07000139",50989,0,13989,20613,7891,6138,1778,427,110,43
"2021","South Holland","E07000140",40702,0,11051,16115,6469,4747,1616,484,139,81
"2021","South Kesteven","E07000141",62850,0,18226,24516,9546,7587,2200,571,138,66
"2021","West Lindsey","E07000142",42345,0,12680,17035,6078,4575,1385,418,114,60
"2021","Ashfield","E07000170",54508,0,16048,19882,9122,6489,2122,612,145,88
"2021","Bassetlaw","E07000171",51458,0,15492,19557,8094,5885,1774,452,147,57
"2021","Broxtowe","E07000172",48361,0,14581,18254,7480,5777,1653,418,128,70
"2021","Gedling","E07000173",51553,0,15514,18965,8347,6411,1673,443,139,61
"2021","Mansfield","E07000174",48032,0,14471,17313,7982,5729,1802,513,149,73
"2021","Newark and Sherwood","E07000175",53333,0,15746,20392,8322,6267,1893,508,137,68
"2021","Rushcliffe","E07000176",49882,0,13822,18574,7795,7172,1911,432,123,53
"2021","Herefordshire, County of","E06000019",82828,0,25434,32073,11947,9298,2946,796,228,106
"2021","Telford and Wrekin","E06000020",76510,0,21205,27059,13055,9695,3620,1232,410,234
"2021","Stoke-on-Trent","E06000021",110398,0,36179,36854,17327,12078,5033,1783,715,429
"2021","Shropshire","E06000051",139579,0,41428,54661,20205,16078,4835,1396,505,471
"2021","Cannock Chase","E07000192",43460,0,12573,15861,7502,5234,1712,414,105,59
"2021","East Staffordshire","E07000193",51292,0,14760,18209,8252,6446,2305,822,290,208
"2021","Lichfield","E07000194",45630,0,12662,17587,7377,5810,1610,411,111,62
"2021","Newcastle-under-Lyme","E07000195",53423,0,16588,19527,8551,6124,1872,536,149,76
"2021","South Staffordshire","E07000196",46121,0,12558,17896,7497,5910,1664,425,115,56
"2021","Stafford","E07000197",60047,0,17754,23322,9227,7128,1946,470,135,65
"2021","Staffordshire Moorlands","E07000198",42351,0,12536,16629,6332,4873,1490,345,100,46
"2021","Tamworth","E07000199",32896,0,8787,11893,5878,4379,1395,391,116,57
"2021","North Warwickshire","E07000218",27580,0,7642,10250,4628,3556,1084,301,89,30
"2021","Nuneaton and Bedworth","E07000219",56586,0,16345,19618,9818,7198,2515,776,206,110
"2021","Rugby","E07000220",47013,0,12774,16643,8006,6708,2044,548,179,111
"2021","Stratford-on-Avon","E07000221",59464,0,17306,23415,9057,7099,1922,471,127,67
"2021","Warwick","E07000222",62619,0,18999,21917,9921,8495,2272,683,212,120
"2021","Bromsgrove","E07000234",41265,0,11293,15069,6809,5932,1606,398,108,50
"2021","Malvern Hills","E07000235",34890,0,10303,14028,5071,3941,1132,307,73,35
"2021","Redditch","E07000236",36378,0,10102,12798,6307,4817,1647,488,141,78
"2021","Worcester","E07000237",44724,0,14157,15492,7127,5447,1689,548,168,96
"2021","Wychavon","E07000238",57357,0,15847,22833,8872,7097,2018,497,143,50
"2021","Wyre Forest","E07000239",45318,0,14377,16969,6729,5068,1546,418,145,66
"2021","Birmingham","E08000025",423456,0,133224,113012,63986,54503,29542,15649,7273,6267
"2021","Coventry","E08000026",134141,0,40777,39787,22556,18458,7827,2839,1194,703
"2021","Dudley","E08000027",137067,0,41709,46526,22691,17069,5961,1993,682,436
"2021","Sandwell","E08000028",130246,0,38042,36353,21854,18634,8688,3828,1556,1291
"2021","Solihull","E08000029",89484,0,25852,29628,14787,13210,4263,1182,369,193
"2021","Walsall","E08000030",112226,0,32129,34801,18679,15479,6831,2730,958,619
"2021","Wolverhampton","E08000031",105141,0,32468,30542,17539,14599,6342,2342,836,473
"2021","Peterborough","E06000031",84532,0,23516,26700,14515,11619,4858,2019,769,536
"2021","Luton","E06000032",78940,0,21068,20469,13153,11529,6476,3335,1596,1314
"2021","Southend-on-Sea","E06000033",78341,0,26102,25371,12385,9857,3242,945,284,155
"2021","Thurrock","E06000034",66376,0,16180,19262,12854,11472,4529,1441,411,227
"2021","Bedford","E06000055",74950,0,21448,24647,12411,10569,3831,1325,439,280
"2021","Central Bedfordshire","E06000056",120753,0,31171,43254,21077,18141,5197,1365,376,172
"2021","Cambridge","E07000008",52473,0,16660,17050,8400,6525,2085,775,323,655
"2021","East Cambridgeshire","E07000009",37203,0,10291,13877,5901,5140,1488,358,99,49
"2021","Fenland","E07000010",44083,0,12787,16857,6928,4979,1709,573,170,80
"2021","Huntingdonshire","E07000011",76879,0,21564,28895,12189,10226,2912,793,212,88
"2021","South Cambridgeshire","E07000012",66996,0,17574,24328,10870,10359,2995,665,132,73
"2021","Basildon","E07000066",76363,0,21474,24554,13258,11540,3810,1184,351,192
"2021","Braintree","E07000067",64984,0,17774,23651,10603,9082,2846,747,204,77
"2021","Brentwood","E07000068",32342,0,9402,10940,5285,4908,1365,327,79,36
"2021","Castle Point","E07000069",37388,0,10221,13567,6056,5188,1653,474,140,89
"2021","Chelmsford","E07000070",75403,0,21153,26360,12249,11286,3280,775,198,102
"2021","Colchester","E07000071",79708,0,23075,27877,12984,10970,3441,963,287,111
"2021","Epping Forest","E07000072",54557,0,14827,17990,9499,8356,2692,830,215,148
"2021","Harlow","E07000073",37857,0,10918,11457,6940,5704,1952,588,212,86
"2021","Maldon","E07000074",27900,0,7418,10698,4436,3767,1143,319,75,44
"2021","Rochford","E07000075",35559,0,9360,12823,5855,5470,1556,363,99,33
"2021","Tendring","E07000076",67453,0,23073,25249,8867,6644,2406,823,277,114
"2021","Uttlesford","E07000077",36958,0,9228,13236,6259,5900,1795,418,93,29
"2021","Broxbourne","E07000095",39849,0,10971,12262,7220,6461,2164,541,160,70
"2021","Dacorum","E07000096",63412,0,17851,20858,11024,9760,2853,759,201,106
"2021","Hertsmere","E07000098",42682,0,11527,13153,7624,7178,2310,622,170,98
"2021","North Hertfordshire","E07000099",56727,0,16903,19605,9021,8111,2300,592,125,70
"2021","Three Rivers","E07000102",36860,0,9697,11231,6635,6593,1967,509,143,85
"2021","Watford","E07000103",39627,0,11146,11334,7106,6294,2327,871,297,252
"2021","Breckland","E07000143",60359,0,16550,24205,9218,7048,2290,727,206,115
"2021","Broadland","E07000144",57759,0,16238,23360,8538,7177,1826,446,118,56
"2021","Great Yarmouth","E07000145",44544,0,14488,16486,6620,4492,1671,530,166,91
"2021","King's Lynn and West Norfolk","E07000146",67464,0,19829,26602,9971,7405,2510,783,255,109
"2021","North Norfolk","E07000147",48374,0,16319,20337,5726,4099,1328,383,130,52
"2021","Norwich","E07000148",64462,0,25098,20646,8800,6472,2307,833,198,108
"2021","South Norfolk","E07000149",61381,0,16990,24606,9127,7793,2106,546,143,70
"2021","Babergh","E07000200",40203,0,11382,16109,5902,4861,1439,382,98,30
"2021","Ipswich","E07000202",59510,0,19270,19363,9409,7452,2723,895,277,121
"2021","Mid Suffolk","E07000203",44344,0,11983,18369,6354,5408,1601,443,128,58
"2021","St Albans","E07000240",58990,0,15527,18943,9958,10556,3040,683,190,93
"2021","Welwyn Hatfield","E07000241",46211,0,12928,14321,8115,7266,2403,794,212,172
"2021","East Hertfordshire","E07000242",62022,0,16952,21563,10360,9683,2694,609,111,50
"2021","Stevenage","E07000243",36512,0,10568,11475,6468,5300,1841,624,157,79
"2021","East Suffolk","E07000244",110749,0,35819,42792,14923,11923,3838,1028,296,130
"2021","West Suffolk","E07000245",78746,0,25490,28502,11494,9288,2895,778,211,88
