"date","geography","geography code","Household size: Total: All household spaces; measures: Value","Household size: 0 people in household; measures: Value","Household size: 1 person in household; measures: Value","Household size: 2 people in household; measures: Value","Household size: 3 people in household; measures: Value","Household size: 4 people in household; measures: Value","Household size: 5 people in household; measures: Value","Household size: 6 people in household; measures: Value","Household size: 7 people in household; measures: Value","Household size: 8 or more people in household; measures: Value"
"2021","Kensington and Chelsea","E09000020",66884,0,29232,19338,8247,5577,2619,1017,525,329
"2021","Lambeth","E09000022",134686,0,43154,44849,22469,14991,5477,2164,824,758
"2021","Lewisham","E09000023",122395,0,37147,38233,21153,15941,5867,2371,874,809
"2021","Newham","E09000025",115508,0,27038,29262,19830,17444,10555,5546,2700,3133
"2021","Southwark","E09000028",130818,0,43348,42744,21078,14423,5619,2133,739,734
"2021","Tower Hamlets","E09000030",120539,0,38531,37437,17229,12514,7442,4036,1747,1603
"2021","Wandsworth","E09000032",137393,0,41132,46877,23047,17358,6119,1839,609,412
"2021","Westminster","E09000033",94815,0,40443,28605,12069,7583,3620,1455,491,549
"2021","Barking and Dagenham","E09000002",73902,0,17503,16630,13943,13273,7147,3134,1296,976
"2021","Barnet","E09000003",148917,0,41658,42347,26841,22637,9113,3563,1542,1216
"2021","Bexley","E09000004",95299,0,24753,28297,17616,16104,5852,1814,576,287
"2021","Brent","E09000005",118615,0,31985,30225,20783,17500,8810,4512,2151,2649
"2021","Bromley","E09000006",135827,0,38668,43242,24235,21393,6040,1591,439,219
"2021","Croydon","E09000008",152946,0,43091,45181,27823,22312,9257,3362,1174,746
"2021","Ealing","E09000009",133658,0,35662,35953,23795,21198,9717,3984,1722,1627
"2021","Enfield","E09000010",120925,0,31159,32259,23242,19932,8456,3194,1283,1400
"2021","Greenwich","E09000011",114053,0,34048,34464,19487,15326,6348,2456,986,938
"2021","Harrow","E09000015",89642,0,19852,23520,17121,16517,6788,3097,1250,1497
"2021","Havering","E09000016",101278,0,26129,30782,18689,16434,6195,1986,686,377
"2021","Hillingdon","E09000017",109229,0,26635,29597,20484,18849,8247,3229,1223,965
"2021","Hounslow","E09000018",102963,0,26209,26606,19160,17182,7626,3294,1486,1400
"2021","Kingston upon Thames","E09000021",65626,0,17716,19953,11957,11015,3482,1062,283,158
"2021","Merton","E09000024",81729,0,20464,24679,15139,13427,5062,1809,639,510
"2021","Redbridge","E09000026",103713,0,23886,24386,18837,19096,9526,4295,1955,1732
"2021","Richmond upon Thames","E09000027",80705,0,23871,25216,13861,12962,3615,841,228,111
"2021","Sutton","E09000029",82351,0,22197,24218,15236,14150,4648,1359,354,189
"2021","Waltham Forest","E09000031",102901,0,26696,29957,18668,15319,6585,2968,1329,1379
"2021","Bracknell Forest","E06000036",50248,0,13465,16970,8935,7743,2258,639,162,76
"2021","Brighton and Hove","E06000043",121402,0,42101,40770,18122,14243,4244,1380,352,190
"2021","Isle of Wight","E06000046",64772,0,22484,25005,8437,5906,2025,626,184,105
"2021","Medway","E06000035",111458,0,30462,35753,19650,16738,6200,1875,524,256
"2021","Milton Keynes","E06000042",113102,0,29795,36133,20168,17498,6312,2152,668,376
"2021","Portsmouth","E06000044",86154,0,27607,27805,13930,10788,4032,1291,476,225
"2021","Reading","E06000038",67683,0,19262,21183,11577,9585,3685,1426,584,381
"2021","Slough","E06000039",52423,0,11948,11950,9848,9564,4666,2369,1011,1067
"2021","Southampton","E06000045",102291,0,33711,32884,15636,12333,4934,1822,593,378
"2021","West Berkshire","E06000037",66658,0,18008,24134,11005,9680,2807,748,207,69
"2021","Windsor and Maidenhead","E06000040",60935,0,16715,20250,10329,9479,2754,865,264,279
"2021","Wokingham","E06000041",69164,0,16265,23529,12396,12405,3405,832,223,109
