date,geography,geography code,Provision of unpaid care: Provides no unpaid care,Provision of unpaid care: Provides 19 or less hours unpaid care a week,Provision of unpaid care: Provides 20 to 49 hours unpaid care a week,Provision of unpaid care: Provides 50 or more hours unpaid carea week
2021,Southend-on-Sea,E06000033,91.1,4.4,1.8,2.7
2021,Thurrock,E06000034,91.7,3.7,1.8,2.8
2021,Medway,E06000035,91.1,4.0,1.9,3.0
2021,Bracknell Forest,E06000036,92.3,4.2,1.3,2.2
2021,West Berkshire,E06000037,92.2,4.4,1.3,2.1
2021,Reading,E06000038,92.5,3.7,1.6,2.2
2021,Slough,E06000039,92.2,3.3,1.9,2.5
2021,Windsor and Maidenhead,E06000040,92.6,4.2,1.3,1.9
2021,Wokingham,E06000041,92.5,4.4,1.2,1.9
2021,Milton Keynes,E06000042,91.8,4.0,1.7,2.5
2021,Brighton and Hove,E06000043,91.8,4.4,1.5,2.3
2021,Portsmouth,E06000044,91.6,4.0,1.7,2.7
2021,Southampton,E06000045,91.4,3.9,1.8,2.8
2021,Isle of Wight,E06000046,89.9,4.8,2.0,3.3
2021,County Durham,E06000047,89.5,4.5,2.4,3.6
2021,Cheshire East,E06000049,91.2,4.8,1.6,2.4
2021,Cheshire West and Chester,E06000050,90.5,4.8,1.9,2.9
2021,Shropshire,E06000051,90.9,4.9,1.7,2.5
2021,Cornwall,E06000052,90.3,4.7,2.0,3.0
2021,Isles of Scilly,E06000053,90.4,5.6,1.4,2.5
2021,Wiltshire,E06000054,91.4,4.6,1.6,2.4
2021,Bedford,E06000055,91.5,4.4,1.8,2.3
2021,Central Bedfordshire,E06000056,91.5,4.7,1.5,2.4
2021,Northumberland,E06000057,90.3,4.6,2.1,3.0
2021,"Bournemouth, Christchurch and Poole",E06000058,91.2,4.6,1.7,2.5
2021,Dorset,E06000059,90.8,4.9,1.7,2.6
2021,Buckinghamshire,E06000060,92.0,4.6,1.4,2.1
2021,North Northamptonshire,E06000061,91.4,4.2,1.8,2.7
2021,West Northamptonshire,E06000062,91.9,4.2,1.6,2.4
2021,Cambridge,E07000008,92.4,4.4,1.3,1.9
2021,East Cambridgeshire,E07000009,91.5,4.8,1.4,2.2
2021,Fenland,E07000010,90.6,4.1,2.1,3.2
2021,Huntingdonshire,E07000011,91.9,4.4,1.4,2.3
2021,South Cambridgeshire,E07000012,91.6,5.1,1.3,1.9
2021,Allerdale,E07000026,90.6,4.6,2.0,2.8
2021,Barrow-in-Furness,E07000027,90.2,4.5,2.2,3.1
2021,Carlisle,E07000028,91.4,4.4,1.8,2.5
2021,Copeland,E07000029,90.2,4.4,2.1,3.3
2021,Eden,E07000030,91.6,4.7,1.5,2.1
2021,South Lakeland,E07000031,91.8,4.7,1.4,2.1
2021,Amber Valley,E07000032,90.0,5.2,1.9,3.0
2021,Bolsover,E07000033,89.1,4.8,2.5,3.6
2021,Chesterfield,E07000034,89.4,5.0,2.2,3.4
2021,Derbyshire Dales,E07000035,91.0,5.3,1.5,2.3
2021,Erewash,E07000036,90.2,4.9,1.9,3.0
2021,High Peak,E07000037,91.1,4.8,1.6,2.4
2021,North East Derbyshire,E07000038,89.6,5.2,2.0,3.2
2021,South Derbyshire,E07000039,90.8,4.7,1.8,2.7
2021,East Devon,E07000040,90.7,5.0,1.7,2.6
2021,Exeter,E07000041,91.1,4.8,1.7,2.5
2021,Mid Devon,E07000042,90.8,4.9,1.8,2.6
2021,North Devon,E07000043,90.8,4.6,1.8,2.8
2021,South Hams,E07000044,90.6,5.3,1.7,2.4
2021,Teignbridge,E07000045,90.3,5.1,1.8,2.8
2021,Torridge,E07000046,90.4,4.7,1.9,3.0
