date,geography,geography code,Provision of unpaid care: Provides no unpaid care,Provision of unpaid care: Provides 19 or less hours unpaid care a week,Provision of unpaid care: Provides 20 to 49 hours unpaid care a week,Provision of unpaid care: Provides 50 or more hours unpaid carea week
2021,West Devon,E07000047,90.2,5.2,1.7,2.8
2021,Eastbourne,E07000061,90.3,4.5,2.1,3.1
2021,Hastings,E07000062,90.1,4.4,2.3,3.2
2021,Lewes,E07000063,90.1,5.4,1.7,2.8
2021,Rother,E07000064,90.1,5.0,2.0,2.9
2021,Wealden,E07000065,91.2,4.9,1.6,2.3
2021,Basildon,E07000066,90.9,4.3,1.8,3.0
2021,Braintree,E07000067,91.4,4.4,1.6,2.6
2021,Brentwood,E07000068,91.8,4.7,1.3,2.1
2021,Castle Point,E07000069,90.7,4.5,1.9,2.8
2021,Chelmsford,E07000070,91.9,4.5,1.4,2.2
2021,Colchester,E07000071,91.5,4.4,1.6,2.5
2021,Epping Forest,E07000072,91.8,4.5,1.5,2.2
2021,Harlow,E07000073,91.2,4.1,1.9,2.8
2021,Maldon,E07000074,90.6,5.0,1.7,2.7
2021,Rochford,E07000075,91.4,4.7,1.5,2.4
2021,Tendring,E07000076,89.2,4.6,2.4,3.8
2021,Uttlesford,E07000077,92.3,4.6,1.2,1.9
2021,Cheltenham,E07000078,92.4,4.4,1.3,2.0
2021,Cotswold,E07000079,92.5,4.3,1.2,1.9
2021,Forest of Dean,E07000080,90.7,4.8,1.7,2.7
2021,Gloucester,E07000081,91.3,4.3,1.8,2.5
2021,Stroud,E07000082,91.5,5.0,1.4,2.0
2021,Tewkesbury,E07000083,91.7,4.7,1.4,2.3
2021,Basingstoke and Deane,E07000084,92.2,4.2,1.4,2.2
2021,East Hampshire,E07000085,92.1,4.6,1.3,2.0
