date,geography,geography code,Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census,Hours worked: Part-time,Hours worked: Part-time: 15 hours or less worked,Hours worked: Part-time: 16 to 30 hours worked,Hours worked: Full-time,Hours worked: Full-time: 31 to 48 hours worked,Hours worked: Full-time: 49 or more hours worked
2021,Burnley,E07000117,40034,11854,3348,8506,28180,25374,2806
2021,Chorley,E07000118,57244,15744,5123,10621,41500,35318,6182
2021,Fylde,E07000119,35715,11075,4034,7041,24640,20822,3818
2021,Hyndburn,E07000120,35629,9997,2893,7104,25632,22795,2837
2021,Lancaster,E07000121,62400,21336,7586,13750,41064,34451,6613
2021,Pendle,E07000122,39623,12802,3909,8893,26821,23657,3164
2021,Preston,E07000123,66634,21193,6930,14263,45441,40027,5414
2021,Ribble Valley,E07000124,30385,8680,3132,5548,21705,17587,4118
2021,Rossendale,E07000125,33116,9371,2925,6446,23745,20294,3451
2021,South Ribble,E07000126,54711,14691,4603,10088,40020,34628,5392
2021,West Lancashire,E07000127,53546,16327,5810,10517,37219,31281,5938
2021,Wyre,E07000128,47835,15404,5094,10310,32431,27049,5382
2021,Blaby,E07000129,51446,14563,4611,9952,36883,31671,5212
2021,Charnwood,E07000130,84799,25585,8944,16641,59214,50718,8496
2021,Harborough,E07000131,48771,14307,5206,9101,34464,27964,6500
2021,Hinckley and Bosworth,E07000132,55886,15582,5034,10548,40304,34150,6154
2021,Melton,E07000133,25464,7723,2750,4973,17741,14288,3453
2021,North West Leicestershire,E07000134,51961,13930,4760,9170,38031,31766,6265
2021,Oadby and Wigston,E07000135,25989,8039,2593,5446,17950,15716,2234
2021,Boston,E07000136,33631,9381,2729,6652,24250,19918,4332
2021,East Lindsey,E07000137,55577,19315,6577,12738,36262,28556,7706
2021,Lincoln,E07000138,46718,15008,5591,9417,31710,27478,4232
2021,North Kesteven,E07000139,56892,15883,5354,10529,41009,33773,7236
2021,South Holland,E07000140,45234,11741,3790,7951,33493,26644,6849
2021,South Kesteven,E07000141,68193,19787,6832,12955,48406,39658,8748
2021,West Lindsey,E07000142,42136,12994,4505,8489,29142,23610,5532
2021,Breckland,E07000143,65638,19981,7119,12862,45657,36910,8747
2021,Broadland,E07000144,62589,20791,7120,13671,41798,35015,6783
2021,Great Yarmouth,E07000145,41139,14288,4801,9487,26851,22422,4429
2021,King's Lynn and West Norfolk,E07000146,69220,21522,7291,14231,47698,38895,8803
2021,North Norfolk,E07000147,41658,15709,6006,9703,25949,20901,5048
2021,Norwich,E07000148,65722,21973,8039,13934,43749,38164,5585
2021,South Norfolk,E07000149,67749,21717,7628,14089,46032,37418,8614
2021,Craven,E07000163,27131,8812,3345,5467,18319,14333,3986
2021,Hambleton,E07000164,43404,13516,4721,8795,29888,23371,6517
2021,Harrogate,E07000165,79685,24370,8848,15522,55315,44623,10692
2021,Richmondshire,E07000166,24679,7278,2660,4618,17401,13002,4399
