date,geography,geography code,Religion: Total: All usual residents,Religion: No religion,Religion: Christian,Religion: Buddhist,Religion: Hindu,Religion: Jewish,Religion: Muslim,Religion: Sikh,Religion: Other religion,Religion: Not answered
2021,Redbridge,E09000026,310260,38999,94473,1611,34372,6412,97068,17622,2028,17675
2021,Richmond upon Thames,E09000027,195278,74076,88556,1593,4184,1262,8492,1987,1273,13855
2021,Southwark,E09000028,307637,111935,133298,2965,3444,1243,29633,632,2149,22338
2021,Sutton,E09000029,209640,67769,95960,1822,14666,407,14736,447,1244,12589
2021,Tower Hamlets,E09000030,310306,82635,69223,2961,6298,1341,123912,966,1652,21318
2021,Waltham Forest,E09000031,278426,77739,108630,1834,5155,1268,60157,1285,2810,19548
2021,Wandsworth,E09000032,327506,118543,139656,2275,6419,1756,32519,967,1871,23500
2021,Westminster,E09000033,204235,52936,76245,2603,4457,5628,40873,573,1741,19179
2021,Cambridgeshire,E10000003,678849,293134,306302,3698,7245,1978,13953,1165,3853,47521
2021,Cumbria,E10000006,499846,179007,284987,1564,703,237,2186,106,1907,29149
2021,Derbyshire,E10000007,794639,354595,380102,1940,2071,385,3657,3375,3867,44647
2021,Devon,E10000008,811640,361101,380573,3300,1410,860,4833,384,5336,53843
2021,East Sussex,E10000011,545847,244053,250334,2554,1890,1145,6194,210,4129,35338
2021,Essex,E10000012,1503521,632299,720752,5786,15357,8078,24485,3641,7064,86059
2021,Gloucestershire,E10000013,645078,266959,317610,2383,3777,688,9347,761,3511,40042
2021,Hampshire,E10000014,1400899,598902,669999,10775,15919,1439,12725,3205,7918,80017
2021,Hertfordshire,E10000015,1198798,438365,557117,6562,35545,26436,47378,6016,8630,72749
2021,Kent,E10000016,1576069,644190,763716,8749,19242,2050,25614,12307,9572,90629
2021,Lancashire,E10000017,1235354,389377,675521,3304,7384,958,85176,1771,5044,66819
2021,Leicestershire,E10000018,712366,287394,325889,1981,26256,530,16071,11892,3275,39078
2021,Lincolnshire,E10000019,768365,294199,412589,1823,2494,495,5409,678,3784,46894
2021,Norfolk,E10000020,916121,404947,430442,3414,3697,1177,8146,566,5295,58437
2021,North Yorkshire,E10000023,615493,226879,342441,2035,1679,631,2984,325,2761,35758
2021,Nottinghamshire,E10000024,824822,369531,381632,2337,5139,710,11185,4037,3748,46503
2021,Oxfordshire,E10000025,725291,290116,343314,3901,6332,2117,23481,1785,4229,50016
2021,Somerset,E10000027,571548,237262,286672,1930,1103,451,2600,189,3962,37379
2021,Staffordshire,E10000028,876104,325613,472054,2492,3718,345,17036,4561,3811,46474
2021,Suffolk,E10000029,760688,334644,358454,2792,3024,778,9279,770,4019,46928
2021,Surrey,E10000030,1203109,440069,603072,6990,23742,3099,38138,7144,5528,75327
2021,Warwickshire,E10000031,596773,224587,300708,2295,10492,591,9235,12259,3061,33545
2021,West Sussex,E10000032,882676,363051,424495,3778,10128,1707,19225,1385,5108,53799
2021,Worcestershire,E10000034,603676,228987,319892,1691,1882,416,10881,2310,2659,34958
2021,Isle of Anglesey,W06000001,68879,28066,35485,154,62,30,328,30,278,4446
2021,Gwynedd,W06000002,117395,51941,54249,426,255,59,1137,46,770,8512
2021,Conwy,W06000003,114741,46946,58283,375,254,63,842,33,621,7324
2021,Denbighshire,W06000004,95817,40297,47226,320,209,48,740,38,483,6456
2021,Flintshire,W06000005,154961,62995,79849,397,320,60,739,23,476,10102
2021,Wrexham,W06000006,135117,56477,66880,404,333,51,1540,78,513,8841
2021,Ceredigion,W06000008,71476,30749,33409,378,158,75,515,35,677,5480
2021,Pembrokeshire,W06000009,123363,52998,60174,462,161,58,587,32,746,8145
2021,Carmarthenshire,W06000010,187899,83409,89378,557,419,103,1026,177,1127,11703
2021,Swansea,W06000011,238490,112687,98492,942,1010,159,7694,346,1175,15985
2021,Neath Port Talbot,W06000012,142289,70941,59974,383,400,32,1062,151,630,8716
2021,Bridgend,W06000013,145488,76141,58776,398,339,38,797,98,692,8209
2021,Vale of Glamorgan,W06000014,131943,63164,58237,420,440,143,1205,147,641,7546
2021,Cardiff,W06000015,362311,155589,138885,1630,5434,690,33650,1517,2028,22888
2021,Rhondda Cynon Taff,W06000016,237652,133486,86474,588,497,72,1378,248,1083,13826
2021,Caerphilly,W06000018,175953,99767,63998,322,246,84,594,210,766,9966
2021,Blaenau Gwent,W06000019,66904,37706,24392,119,76,10,287,108,309,3897
2021,Torfaen,W06000020,92272,46872,38327,260,253,14,363,62,490,5631
2021,Monmouthshire,W06000021,92959,40311,45250,339,204,79,435,102,519,5720
2021,Newport,W06000022,159592,68564,68287,479,761,90,11280,415,739,8977
2021,Powys,W06000023,133169,55971,65134,595,307,81,462,72,935,9612
2021,Merthyr Tydfil,W06000024,58839,31322,23614,127,110,5,289,82,229,3061
