date,geography,geography code,Religion (detailed): Total: All Usual Residents,Religion (detailed): Christian,Religion (detailed): Buddhist,Religion (detailed): Hindu,Religion (detailed): Jewish,Religion (detailed): Muslim ,Religion (detailed): Sikh,Religion (detailed): No religion,Religion (detailed): No religion: Agnostic,Religion (detailed): No religion: Atheist,Religion (detailed): No religion: Free Thinker,Religion (detailed): No religion: Humanist,Religion (detailed): No religion: No religion,Religion (detailed): No religion: Realist,Religion (detailed): Other religion,Religion (detailed): Other religion: Alevi,Religion (detailed): Other religion: Animism,Religion (detailed): Other religion: Baha'i,Religion (detailed): Other religion: Believe in God,Religion (detailed): Other religion: Brahma Kumari,Religion (detailed): Other religion: Chinese Religion,Religion (detailed): Other religion: Church of All Religion,Religion (detailed): Other religion: Confucianist,Religion (detailed): Other religion: Deist,Religion (detailed): Other religion: Druid,Religion (detailed): Other religion: Druze,Religion (detailed): Other religion: Eckankar,Religion (detailed): Other religion: Heathen,Religion (detailed): Other religion: Jain,Religion (detailed): Other religion: Mixed Religion,Religion (detailed): Other religion: Mysticism,Religion (detailed): Other religion: Native American Church,Religion (detailed): Other religion: New Age,Religion (detailed): Other religion: Occult,Religion (detailed): Other religion: Other religions,Religion (detailed): Other religion: Own Belief System,Religion (detailed): Other religion: Pagan,Religion (detailed): Other religion: Pantheism,Religion (detailed): Other religion: Rastafarian,Religion (detailed): Other religion: Ravidassia,Religion (detailed): Other religion: Reconstructionist,Religion (detailed): Other religion: Satanism,Religion (detailed): Other religion: Scientology,Religion (detailed): Other religion: Shamanism,Religion (detailed): Other religion: Shintoism,Religion (detailed): Other religion: Spiritual,Religion (detailed): Other religion: Spiritualist,Religion (detailed): Other religion: Taoist,Religion (detailed): Other religion: Theism,Religion (detailed): Other religion: Thelemite,Religion (detailed): Other religion: Traditional African Religion,Religion (detailed): Other religion: Unification Church,Religion (detailed): Other religion: Universalist,Religion (detailed): Other religion: Valmiki,Religion (detailed): Other religion: Vodun,Religion (detailed): Other religion: Wicca,Religion (detailed): Other religion: Witchcraft,Religion (detailed): Other religion: Yazidi ,Religion (detailed): Other religion: Zoroastrian,Religion (detailed): Religion not stated
2021,South Gloucestershire,E06000025,290428,128014,1056,2896,173,4720,1006,133750,181,75,0,42,133452,0,1321,4,5,20,7,0,0,0,1,5,11,0,1,10,41,40,0,0,0,2,327,9,375,9,14,1,3,29,1,3,7,136,165,16,3,1,11,0,3,0,0,56,3,1,1,17492
2021,Plymouth,E06000026,264696,112526,1018,814,207,3474,96,129337,177,77,3,45,129034,1,1529,10,6,14,10,0,0,0,1,5,15,0,0,46,3,41,2,1,0,3,290,7,480,11,18,2,3,28,13,23,3,174,159,15,3,0,1,0,1,0,0,128,12,0,1,15695
2021,Torbay,E06000027,139325,67634,553,223,141,788,60,60176,44,40,2,34,60056,0,979,0,1,12,1,1,0,0,0,3,11,0,4,8,0,18,1,3,1,5,180,13,270,9,5,1,1,15,0,2,1,100,231,13,0,0,0,0,4,0,0,55,7,0,3,8771
2021,Swindon,E06000030,233412,108778,1700,5865,131,6310,1448,94559,99,31,0,35,94394,0,1516,8,3,47,14,0,0,0,0,3,14,0,0,28,46,24,0,0,0,4,214,4,397,7,20,25,3,21,5,237,1,114,169,8,3,0,3,1,5,0,0,73,3,1,11,13105
2021,Peterborough,E06000031,215668,99802,617,3813,185,26239,1348,70065,74,35,0,30,69926,0,995,79,1,8,8,1,0,0,0,1,5,3,0,13,38,15,0,0,0,2,269,6,260,1,19,0,4,20,0,9,9,75,82,5,3,1,0,0,4,0,0,47,0,0,7,12604
2021,Luton,E06000032,225262,85297,664,7438,246,74191,3032,39581,61,42,3,15,39460,0,1116,17,0,16,7,0,2,0,0,5,2,0,2,6,214,44,0,0,0,1,285,3,116,4,43,104,1,8,7,1,0,87,91,7,1,0,4,2,0,0,2,22,1,1,10,13697
2021,Southend-on-Sea,E06000033,180687,76884,953,2057,2057,5461,203,81187,88,44,2,30,81023,0,1129,11,4,5,11,1,1,0,1,0,6,0,4,14,20,44,0,0,0,2,214,12,312,6,19,0,2,18,1,4,1,131,192,16,4,1,1,1,3,0,0,52,8,0,7,10756
2021,Thurrock,E06000034,175999,90940,703,2376,225,8586,2030,61042,52,26,3,7,60954,0,901,15,1,6,6,0,3,0,0,0,6,0,0,5,12,33,0,0,0,0,185,6,150,3,8,4,1,9,2,247,0,60,89,4,2,1,8,0,2,0,1,29,1,0,2,9196
2021,Medway,E06000035,279772,126097,999,3172,217,7636,4363,120311,107,46,2,30,120125,1,1704,51,1,23,2,2,0,0,0,1,11,2,4,29,22,37,0,0,1,3,301,3,437,4,33,181,6,35,4,108,1,124,160,8,1,0,1,5,4,0,0,88,5,0,6,15273
2021,Bracknell Forest,E06000036,124605,59141,1039,2942,190,2216,1055,50300,69,26,1,17,50187,0,741,1,0,14,5,0,0,0,0,1,3,0,0,2,22,36,0,1,2,1,169,3,139,1,5,4,1,7,4,156,5,53,56,5,0,1,0,0,2,0,1,36,1,0,4,6981
2021,West Berkshire,E06000037,161445,79217,552,2083,236,2107,367,66289,95,37,0,35,66122,0,703,0,4,11,3,2,0,0,0,1,4,1,0,11,27,30,0,0,2,0,152,4,178,7,5,0,4,13,5,3,4,67,102,13,2,1,0,0,3,0,0,33,0,0,11,9891
2021,Reading,E06000038,174229,68988,2887,8757,329,15481,1194,63287,168,50,0,35,63034,0,1244,9,0,20,8,0,0,0,1,4,8,1,5,11,67,53,2,0,5,2,257,5,182,10,33,1,3,26,1,230,12,125,96,9,3,1,3,0,1,0,0,34,1,0,15,12062
2021,Slough,E06000039,158501,50664,776,12343,85,46661,17985,20726,38,14,1,6,20667,0,717,9,0,8,6,6,0,0,0,3,1,0,0,2,102,45,0,0,2,0,175,0,49,3,18,113,1,3,1,43,1,44,36,2,0,0,5,0,3,4,0,15,1,0,16,8544
2021,Windsor and Maidenhead,E06000040,153497,76514,870,4706,521,8607,4517,47641,88,25,3,34,47491,0,695,2,0,18,6,1,1,0,0,0,1,2,4,6,60,61,0,0,0,2,142,0,110,4,5,7,4,6,4,8,7,87,89,12,0,2,1,0,0,0,0,20,0,0,23,9426
2021,Wokingham,E06000041,177506,79389,881,8464,435,8597,2992,65429,112,43,0,32,65242,0,775,12,1,25,4,0,0,0,0,5,2,3,3,9,85,50,0,1,1,0,167,8,121,4,13,6,2,5,0,2,6,95,83,13,0,1,1,0,3,0,0,25,0,0,19,10544
2021,Milton Keynes,E06000042,287057,122935,1404,12911,383,20484,1959,108955,119,62,0,41,108733,0,1553,2,4,24,17,0,2,0,1,9,3,0,1,15,144,57,2,1,2,5,342,9,373,6,18,6,4,27,1,17,15,126,162,22,5,0,5,3,3,14,3,61,5,1,36,16473
2021,Brighton and Hove,E06000043,277103,85629,2455,2100,2455,8500,378,152962,435,149,2,119,152257,0,2864,47,17,49,34,8,1,0,0,15,14,11,4,32,49,103,3,1,4,9,642,38,612,32,30,0,4,61,16,14,15,517,246,43,12,4,5,0,8,0,4,111,13,1,35,19760
2021,Portsmouth,E06000044,208004,81939,1077,1596,200,10174,459,97887,153,47,0,37,97650,0,1259,26,3,10,9,0,0,0,0,6,8,2,2,22,4,38,0,1,1,1,223,3,359,10,24,5,4,42,3,11,2,127,176,19,10,0,1,0,13,0,1,68,5,6,14,13413
2021,Southampton,E06000045,248923,99910,1333,3265,254,13893,4192,108000,198,74,0,40,107688,0,1664,18,0,7,8,1,0,0,0,6,10,0,4,30,49,45,0,0,1,7,336,7,465,10,20,26,5,32,3,0,12,169,266,23,10,1,2,0,3,0,0,63,7,0,18,16412
