date,geography,geography code,Religion (detailed): Total: All Usual Residents,Religion (detailed): Christian,Religion (detailed): Buddhist,Religion (detailed): Hindu,Religion (detailed): Jewish,Religion (detailed): Muslim ,Religion (detailed): Sikh,Religion (detailed): No religion,Religion (detailed): No religion: Agnostic,Religion (detailed): No religion: Atheist,Religion (detailed): No religion: Free Thinker,Religion (detailed): No religion: Humanist,Religion (detailed): No religion: No religion,Religion (detailed): No religion: Realist,Religion (detailed): Other religion,Religion (detailed): Other religion: Alevi,Religion (detailed): Other religion: Animism,Religion (detailed): Other religion: Baha'i,Religion (detailed): Other religion: Believe in God,Religion (detailed): Other religion: Brahma Kumari,Religion (detailed): Other religion: Chinese Religion,Religion (detailed): Other religion: Church of All Religion,Religion (detailed): Other religion: Confucianist,Religion (detailed): Other religion: Deist,Religion (detailed): Other religion: Druid,Religion (detailed): Other religion: Druze,Religion (detailed): Other religion: Eckankar,Religion (detailed): Other religion: Heathen,Religion (detailed): Other religion: Jain,Religion (detailed): Other religion: Mixed Religion,Religion (detailed): Other religion: Mysticism,Religion (detailed): Other religion: Native American Church,Religion (detailed): Other religion: New Age,Religion (detailed): Other religion: Occult,Religion (detailed): Other religion: Other religions,Religion (detailed): Other religion: Own Belief System,Religion (detailed): Other religion: Pagan,Religion (detailed): Other religion: Pantheism,Religion (detailed): Other religion: Rastafarian,Religion (detailed): Other religion: Ravidassia,Religion (detailed): Other religion: Reconstructionist,Religion (detailed): Other religion: Satanism,Religion (detailed): Other religion: Scientology,Religion (detailed): Other religion: Shamanism,Religion (detailed): Other religion: Shintoism,Religion (detailed): Other religion: Spiritual,Religion (detailed): Other religion: Spiritualist,Religion (detailed): Other religion: Taoist,Religion (detailed): Other religion: Theism,Religion (detailed): Other religion: Thelemite,Religion (detailed): Other religion: Traditional African Religion,Religion (detailed): Other religion: Unification Church,Religion (detailed): Other religion: Universalist,Religion (detailed): Other religion: Valmiki,Religion (detailed): Other religion: Vodun,Religion (detailed): Other religion: Wicca,Religion (detailed): Other religion: Witchcraft,Religion (detailed): Other religion: Yazidi ,Religion (detailed): Other religion: Zoroastrian,Religion (detailed): Religion not stated
2021,Babergh,E07000200,92342,45765,242,156,127,433,26,39639,50,32,0,27,39530,0,401,4,0,2,4,0,0,0,0,3,7,0,0,15,0,7,0,1,0,0,76,6,110,5,2,0,1,7,0,1,1,41,75,10,1,0,0,0,0,0,0,19,0,0,3,5553
2021,Ipswich,E07000202,139648,58898,596,1342,101,5433,456,63257,86,33,1,35,63102,0,843,23,1,8,13,0,0,0,0,0,13,0,0,11,20,13,0,1,3,1,169,3,237,7,30,0,8,25,2,3,2,84,96,5,2,1,0,0,0,0,0,47,1,6,8,8722
2021,Mid Suffolk,E07000203,102697,50674,327,165,86,254,27,44715,52,19,0,26,44618,0,426,0,0,3,0,0,0,0,0,2,5,0,0,6,0,6,0,0,1,0,106,3,131,6,1,0,3,5,1,5,5,57,53,3,1,0,0,0,3,0,0,17,2,0,1,6023
2021,Elmbridge,E07000207,138751,72133,750,2218,750,3531,742,49121,73,42,0,21,48985,0,607,7,0,36,12,0,0,0,0,4,6,5,4,6,28,49,0,0,0,0,130,7,73,3,4,4,0,9,0,4,9,87,47,6,0,0,0,0,0,1,4,20,2,0,40,8899
2021,Epsom and Ewell,E07000208,80937,38957,549,2891,206,3926,224,28904,46,13,1,10,28834,0,332,2,0,34,1,0,0,0,0,1,0,4,1,0,25,19,0,0,0,0,71,0,39,2,1,5,2,7,2,0,2,49,34,3,4,0,1,0,0,0,0,11,0,0,12,4948
2021,Guildford,E07000209,143652,69233,991,1972,382,3105,316,56969,99,46,1,32,56791,0,680,18,4,17,2,0,1,0,0,3,5,3,0,7,19,33,0,1,0,0,152,7,158,4,6,3,2,6,2,28,3,92,59,4,5,0,0,0,0,0,0,20,2,0,14,10004
2021,Mole Valley,E07000210,87388,45616,345,646,218,1046,118,33564,49,14,0,27,33474,0,360,1,2,12,2,0,4,0,0,3,4,0,0,8,7,5,0,0,3,0,78,3,74,3,3,0,0,3,5,3,3,62,37,1,3,0,1,0,0,2,0,17,2,0,9,5475
2021,Reigate and Banstead,E07000211,150846,73992,698,3640,364,4642,315,57451,76,48,1,22,57304,0,636,11,1,22,12,0,0,0,0,3,9,0,0,8,40,40,1,0,3,1,131,7,129,4,14,0,1,3,8,6,4,65,52,7,3,1,4,0,0,0,3,29,1,0,13,9108
2021,Runnymede,E07000212,88080,44415,458,2029,223,2519,1269,30655,84,19,1,18,30533,0,450,1,1,5,5,0,0,1,0,4,4,0,0,6,25,24,1,0,0,0,103,3,80,7,1,7,2,10,4,11,1,60,47,6,5,0,0,0,0,0,1,16,1,0,8,6062
2021,Spelthorne,E07000213,102956,52432,703,4372,174,4146,2612,32113,41,18,1,14,32039,0,520,0,0,6,5,0,0,0,0,1,1,0,1,4,53,29,0,0,1,0,97,5,106,8,6,5,2,10,0,28,4,36,44,9,0,0,0,0,1,3,1,15,0,3,36,5884
2021,Surrey Heath,E07000214,90454,45265,951,2021,142,2829,1054,32543,31,22,1,9,32480,0,496,9,3,39,2,0,0,0,0,1,2,0,0,7,27,20,0,0,3,1,80,1,83,2,0,4,2,4,1,91,5,38,36,5,2,1,0,3,0,1,0,15,0,0,8,5153
2021,Tandridge,E07000215,87873,44956,340,1012,152,1159,90,34190,47,28,0,15,34100,0,344,2,0,8,1,0,0,0,0,0,4,0,0,8,16,19,0,0,0,0,92,3,65,5,1,1,0,2,26,1,3,36,30,1,1,0,0,1,2,0,0,5,4,0,7,5630
2021,Waverley,E07000216,128229,66605,564,453,265,1505,117,49988,79,32,1,37,49838,1,602,0,1,21,4,1,0,0,0,5,5,0,0,11,2,37,1,0,0,1,124,5,151,8,3,2,1,7,4,0,4,86,44,10,5,0,1,0,5,0,1,29,4,0,19,8130
2021,Woking,E07000217,103942,49465,642,2488,223,9730,285,34572,57,33,1,17,34464,0,503,2,2,10,4,0,1,0,0,0,6,0,0,1,24,26,0,0,0,1,114,6,75,6,1,0,1,7,1,60,5,50,56,6,2,0,0,0,1,0,2,14,1,0,18,6034
2021,North Warwickshire,E07000218,65038,35778,139,190,26,259,306,24800,35,8,0,7,24750,0,271,0,0,0,0,0,0,0,0,1,2,0,0,3,1,5,0,0,0,0,50,3,107,0,3,1,1,3,0,1,1,25,40,4,0,0,0,0,0,0,0,18,2,0,0,3269
2021,Nuneaton and Bedworth,E07000219,134199,65042,726,2185,39,3979,3529,50777,42,29,1,12,50693,0,854,4,0,17,7,0,0,0,0,1,8,0,0,11,6,21,0,0,0,1,98,2,187,1,2,38,2,13,0,234,0,35,114,3,1,0,0,0,0,1,0,43,0,0,4,7068
2021,Rugby,E07000220,114365,57728,440,3758,69,2109,1552,41331,56,27,0,17,41231,0,600,5,2,15,4,0,0,1,0,0,5,0,2,10,17,28,0,0,0,1,128,2,127,1,14,14,2,12,1,51,3,50,54,2,3,1,0,0,2,4,0,36,1,0,2,6778
2021,Stratford-on-Avon,E07000221,134721,75936,397,617,178,646,573,48339,63,35,3,30,48208,0,566,0,0,22,4,0,0,0,0,3,14,0,0,9,2,23,1,0,0,0,143,5,148,6,6,1,1,6,0,4,4,64,44,11,3,0,0,0,8,0,1,26,3,0,4,7469
2021,Warwick,E07000222,148455,66224,594,3743,278,2243,6299,59336,114,48,0,39,59135,0,777,23,3,28,7,0,0,0,0,1,4,2,0,12,67,41,0,0,1,1,169,3,138,6,3,34,2,6,1,3,8,99,60,14,5,1,1,0,1,0,0,22,3,0,8,8961
2021,Adur,E07000223,64540,27836,274,209,249,840,31,30889,43,16,0,14,30816,0,392,18,0,14,3,3,0,0,0,1,4,0,0,7,4,6,0,0,1,0,56,7,114,4,4,0,1,3,3,0,1,44,63,4,2,1,0,0,0,0,0,20,1,0,3,3820
2021,Arun,E07000224,164885,85922,502,391,262,1157,79,65759,81,27,0,24,65627,0,860,10,0,7,3,0,1,0,0,3,9,0,0,9,9,8,0,0,1,1,194,4,260,7,6,0,2,13,4,1,1,87,153,9,2,0,0,0,6,0,1,42,5,0,2,9953
2021,Chichester,E07000225,124072,65910,611,312,226,685,43,47979,76,41,3,25,47834,0,666,5,5,8,6,0,0,0,0,0,8,0,0,3,2,19,0,0,0,3,149,5,205,5,16,1,1,2,0,4,1,96,73,8,0,0,0,0,1,0,0,32,2,0,6,7640
2021,Crawley,E07000226,118494,50497,529,6090,96,11521,851,41555,60,27,0,13,41455,0,635,2,0,9,8,2,0,0,0,4,1,0,0,11,86,27,0,0,0,0,157,3,121,3,13,17,1,13,10,1,0,38,66,3,0,1,0,0,0,0,0,24,0,0,14,6720
2021,Horsham,E07000227,146776,72325,581,814,272,1270,105,61763,79,37,0,30,61617,0,656,1,4,7,1,0,0,0,1,1,7,0,0,7,13,30,1,0,0,2,131,6,188,5,6,0,2,12,9,1,4,101,56,7,2,1,0,0,1,0,0,31,3,0,15,8990
2021,Mid Sussex,E07000228,152567,73108,577,1573,328,1841,148,64207,83,34,2,32,64055,1,1119,1,1,28,2,0,0,0,1,5,13,0,0,14,22,25,1,0,0,3,185,9,201,4,1,0,1,10,368,0,1,104,72,14,1,1,0,0,2,0,0,19,0,0,10,9666
2021,Worthing,E07000229,111342,48897,704,739,274,1912,124,50897,80,41,0,24,50752,0,782,21,1,20,6,0,0,0,0,1,5,0,0,7,8,14,0,0,2,0,160,2,201,2,5,1,2,18,4,5,3,111,136,6,2,2,0,0,8,0,0,25,1,0,3,7013
2021,Bromsgrove,E07000234,99185,53075,284,670,94,859,1152,37139,47,22,1,8,37061,0,394,1,2,2,1,0,0,0,0,0,7,0,0,4,13,16,1,0,1,0,69,0,101,2,6,4,0,12,1,1,1,40,79,3,1,0,0,0,1,0,0,21,3,0,1,5518
2021,Malvern Hills,E07000235,79488,42846,288,143,65,386,86,30310,42,17,1,20,30230,0,409,0,2,1,1,0,0,0,0,0,2,0,0,2,0,18,0,0,1,0,74,1,138,4,0,4,0,11,2,0,0,64,49,7,0,0,0,0,1,0,0,25,2,0,0,4955
2021,Redditch,E07000236,87036,42549,184,307,52,3628,309,34838,29,17,1,6,34785,0,383,0,0,4,4,0,1,0,0,0,3,0,0,9,0,12,0,0,1,0,76,1,125,1,7,0,0,3,2,0,0,31,70,3,0,0,0,0,1,0,0,29,0,0,0,4786
2021,Worcester,E07000237,103874,50755,367,433,51,4227,168,41084,89,29,0,24,40942,0,454,1,0,2,5,1,0,0,0,2,3,0,0,1,2,22,0,0,0,1,89,3,156,2,3,0,2,14,3,0,1,41,49,6,1,3,0,1,0,0,0,36,1,0,3,6335
2021,Wychavon,E07000238,132493,76487,334,203,112,724,339,46363,51,19,0,24,46269,0,553,0,1,14,1,0,0,0,0,4,6,0,0,11,4,14,0,0,0,2,128,6,175,10,1,0,2,10,0,2,4,58,58,8,3,0,0,1,1,0,1,26,2,0,0,7378
