Nature of Organisation,Beneficiary Group,Charity,Food Moved KG,Food Moved Meal Equivalents,CFMs Served,CFM Beneficiaries,Value of food,date - Year,long,lat,name,details.address.postcode,allocationpostcode,ONS Postcode Lookup.lat,ONS Postcode Lookup.long
Childcare,People on low or no income,Burmantofts Community Nursery,12.4,29.5244,1,115,38.69,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS9 7PY,53.800183,-1.525051
Childcare,People on low or no income,Burmantofts Community Nursery,71.5,170.2415,1,115,277.81,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 7PY,53.800183,-1.525051
Childcare,People on low or no income,Burmantofts Community Nursery,20.4,48.5724,1,115,63.65,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS9 7PY,53.800183,-1.525051
Childcare,People on low or no income,Burmantofts Community Nursery,151.3,360.2453,1,115,592.21,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 7PY,53.800183,-1.525051
Childcare,People on low or no income,Burmantofts Community Nursery,119.5,284.5295,1,115,853.23,2023,-1.413575,53.533241,Vegetable,S73 8HA,LS9 7PY,53.800183,-1.525051
Childcare,People on low or no income,Burmantofts Community Nursery,98.7,235.0047,1,115,462.71,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 7PY,53.800183,-1.525051
Childcare,People on low or no income,Burmantofts Community Nursery,53.964,128.488284,1,115,385.30,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS9 7PY,53.800183,-1.525051
Childcare,People on low or no income,Burmantofts Community Nursery (YSH),23,54.763,1,115,164.22,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS9 7PY,53.800183,-1.525051
Food service only,People on low or no income,Cranmore Food Pantry - Health For All (YSH),43.8,104.2878,1,115,312.73,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS10 4AW,53.751864,-1.521232
Food service only,People on low or no income,Cranmore Food Pantry - Health For All (YSH),176.44,420.10364,1,115,"1,206.23",2023,-1.413575,53.533241,Vegetable,S73 8HA,LS10 4AW,53.751864,-1.521232
Food service only,People on low or no income,Cranmore Food Pantry - Health For All (YSH),50.9,121.1929,1,115,334.87,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS10 4AW,53.751864,-1.521232
Community centre,People on low or no income,Denby Dale Centre Pantry,24.4,58.0964,1,115,76.13,2024,-1.413575,53.533241,Vegetable,S73 8HA,HD8 9BH,53.592099,-1.651075
Food service only,People on low or no income,Family Action Zarach,8,19.048,1,115,24.96,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 7BQ,53.799762,-1.527758
Community centre,People on low or no income,Hamara Heritage Café,46.2,110.0022,1,115,144.14,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS11 6RD,53.772544,-1.55058
Community centre,People on low or no income,Hamara Heritage Café,176.8,420.9608,1,115,606.04,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS11 6RD,53.772544,-1.55058
Community centre,People on low or no income,Hamara Heritage Café Healthy Holiday,9,21.429,1,115,28.08,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS11 6RD,53.772544,-1.55058
Community centre,People on low or no income,Hamara Heritage Café Healthy Holiday,66,157.146,1,115,205.92,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS11 6RD,53.772544,-1.55058
Food service only,People on low or no income,Horsforth Community Assets Project,22.4,53.3344,1,115,69.89,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS18 5LA,53.84067,-1.640366
Food service only,People on low or no income,Horsforth Community Assets Project,111.8,266.1958,1,115,359.72,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS18 5LA,53.84067,-1.640366
Food service only,People on low or no income,Horsforth Community Assets Project,15.4,36.6674,1,115,48.05,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS18 5LA,53.84067,-1.640366
Food service only,People on low or no income,Horsforth Community Assets Project,151.9,361.6739,1,115,840.75,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS18 5LA,53.84067,-1.640366
Food service only,People on low or no income,Horsforth Community Assets Project,5.8,13.8098,1,115,18.10,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS18 5LA,53.84067,-1.640366
Food service only,People on low or no income,Horsforth Community Assets Project,98.9,235.4809,1,115,350.71,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS18 5LA,53.84067,-1.640366
Community centre,People on low or no income,InterACT Church and Community Partnership (YSH),40.1,95.4781,1,115,246.11,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS7 2QU,53.827443,-1.562739
Community centre,People on low or no income,InterACT Church and Community Partnership (YSH),175.88,418.77028,1,115,"1,215.58",2023,-1.413575,53.533241,Vegetable,S73 8HA,LS7 2QU,53.827443,-1.562739
Community centre,People on low or no income,InterACT Church and Community Partnership (YSH),28,66.668,1,115,199.92,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS7 2QU,53.827443,-1.562739
Food service only,People on low or no income,InterACT Meanwood Pantry,16,38.096,1,115,49.92,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS7 2QU,53.827443,-1.562739
Food service only,People on low or no income,InterACT Meanwood Pantry,113.5,270.2435,1,115,361.75,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 2QU,53.827443,-1.562739
Food service only,People on low or no income,InterACT Meanwood Pantry,15.4,36.6674,1,115,48.05,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS7 2QU,53.827443,-1.562739
Food service only,People on low or no income,InterACT Meanwood Pantry,171.6,408.5796,1,115,895.41,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 2QU,53.827443,-1.562739
Food service only,People on low or no income,InterACT Meanwood Pantry,5.8,13.8098,1,115,18.10,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS7 2QU,53.827443,-1.562739
Food service only,People on low or no income,InterACT Meanwood Pantry,106.9,254.5289,1,115,362.80,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 2QU,53.827443,-1.562739
Community centre,People on low or no income,Little London Food Pantry (Leeds African Community Trust),80.8,192.3848,1,115,286.42,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 1SR,53.808985,-1.53999
Food service only,People on low or no income,Loving Hands Outreach Team,11,26.191,1,115,34.32,2022,-1.551651,53.790612,Fruit,LS11 5JJ,WF17 6DW,53.704357,-1.608445
Food service only,People on low or no income,Loving Hands Outreach Team,159.5,379.7695,1,115,534.27,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,WF17 6DW,53.704357,-1.608445
Food service only,People on low or no income,Loving Hands Outreach Team,8.2,19.5242,1,115,25.58,2023,-1.551651,53.790612,Fruit,LS11 5JJ,WF17 6DW,53.704357,-1.608445
Food service only,People on low or no income,Loving Hands Outreach Team,113.4,270.0054,1,115,581.16,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,WF17 6DW,53.704357,-1.608445
Food service only,People on low or no income,Loving Hands Outreach Team,34.1,81.1921,1,115,155.03,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,WF17 6DW,53.704357,-1.608445
Advice / Resource centre,People on low or no income,Noahs Ark (YSH),40,95.24,1,115,245.40,2022,-1.413575,53.533241,Vegetable,S73 8HA,HX3 5TJ,53.742036,-1.877366
Food service only,People on low or no income,Otley 2030 Community Larder,60.3,143.5743,1,115,206.94,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS21 2DP,53.9149,-1.713323
Food service only,People on low or no income,Purpose of Life (POL),12.4,29.5244,1,115,38.69,2022,-1.551651,53.790612,Fruit,LS11 5JJ,WF17 8LL,53.718837,-1.641227
Food service only,People on low or no income,Purpose of Life (POL),151.9,361.6739,1,115,484.49,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,WF17 8LL,53.718837,-1.641227
Community centre,People on low or no income,Quba Community Hub,18.4,43.8104,1,115,57.41,2022,-1.551651,53.790612,Fruit,LS11 5JJ,WF12 9DZ,53.674458,-1.636896
Community centre,People on low or no income,Quba Community Hub,143.2,340.9592,1,115,470.49,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,WF12 9DZ,53.674458,-1.636896
Community centre,People on low or no income,Quba Community Hub,16,38.096,1,115,49.92,2023,-1.551651,53.790612,Fruit,LS11 5JJ,WF12 9DZ,53.674458,-1.636896
Community centre,People on low or no income,Quba Community Hub,219.4,522.3914,1,115,"1,236.98",2023,-1.551651,53.790612,Vegetable,LS11 5JJ,WF12 9DZ,53.674458,-1.636896
Community centre,People on low or no income,Quba Community Hub,97.2,231.4332,1,115,434.15,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,WF12 9DZ,53.674458,-1.636896
Community centre,People on low or no income,Quba Community Hub,16,38.096,1,115,114.24,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF12 9DZ,53.674458,-1.636896
Food service only,People on low or no income,Rainbow Junktion Cafe LW,30,71.43,1,115,117.72,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS6 1NP,53.808667,-1.568299
Food service only,People on low or no income,Rainbow Junktion Cafe LW,149.4,355.7214,1,115,849.77,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS6 1NP,53.808667,-1.568299
Food service only,People on low or no income,Rainbow Junktion Cafe LW,76,180.956,1,115,542.64,2023,-1.413575,53.533241,Vegetable,S73 8HA,LS6 1NP,53.808667,-1.568299
Food service only,People on low or no income,Rainbow Junktion Cafe LW,361.6,860.9696,1,115,"1,091.05",2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS6 1NP,53.808667,-1.568299
Food service only,People on low or no income,Rainbow Junktion Cafe LW,15,35.715,1,115,,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS6 1NP,53.808667,-1.568299
Community centre,People on low or no income,SESKU Community Cupboard,32,76.192,1,115,99.84,2022,-1.551651,53.790612,Fruit,LS11 5JJ,WF9 3LH,53.593219,-1.324572
Community centre,People on low or no income,SESKU Community Cupboard,137.4,327.1494,1,115,462.05,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,WF9 3LH,53.593219,-1.324572
Community centre,People on low or no income,SESKU Community Cupboard,12.6,30.0006,1,115,39.31,2023,-1.551651,53.790612,Fruit,LS11 5JJ,WF9 3LH,53.593219,-1.324572
Community centre,People on low or no income,SESKU Community Cupboard,171.4,408.1034,1,115,944.49,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,WF9 3LH,53.593219,-1.324572
Community centre,People on low or no income,SESKU Community Cupboard,94.5,225.0045,1,115,674.73,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF9 3LH,53.593219,-1.324572
Community centre,People on low or no income,SESKU Community Cupboard,83.3,198.3373,1,115,308.54,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,WF9 3LH,53.593219,-1.324572
Community centre,People on low or no income,SESKU Community Cupboard,38.964,92.773284,1,115,278.20,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF9 3LH,53.593219,-1.324572
Faith organisation,People on low or no income,St John's Thorpe Edge Community Centre,30,71.43,1,115,93.60,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD10 9HX,53.829068,-1.725881
Faith organisation,People on low or no income,St John's Thorpe Edge Community Centre,137.5,327.3875,1,115,662.04,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD10 9HX,53.829068,-1.725881
Faith organisation,People on low or no income,St John's Thorpe Edge Community Centre,118,280.958,1,115,"1,013.88",2023,-1.413575,53.533241,Vegetable,S73 8HA,BD10 9HX,53.829068,-1.725881
Faith organisation,People on low or no income,St John's Thorpe Edge Community Centre,11.6,27.6196,1,115,36.19,2024,-1.551651,53.790612,Fruit,LS11 5JJ,BD10 9HX,53.829068,-1.725881
Faith organisation,People on low or no income,St John's Thorpe Edge Community Centre,77.8,185.2418,1,115,402.73,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD10 9HX,53.829068,-1.725881
Faith organisation,People on low or no income,St John's Thorpe Edge Community Centre,13.2,31.4292,1,115,51.41,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD10 9HX,53.829068,-1.725881
Food service only,People with drug or alcohol addiction,"Space 2, The People's Pantry",6.4,15.2384,1,115,19.97,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS9 6NL,53.802733,-1.494157
Food service only,People with drug or alcohol addiction,"Space 2, The People's Pantry",130.6,310.9586,1,115,428.83,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 6NL,53.802733,-1.494157
Food service only,People with drug or alcohol addiction,"Space 2, The People's Pantry",28.6,68.0966,1,115,89.23,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS9 6NL,53.802733,-1.494157
Food service only,People with drug or alcohol addiction,"Space 2, The People's Pantry",167.1,397.8651,1,115,802.57,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 6NL,53.802733,-1.494157
Food service only,People with drug or alcohol addiction,"Space 2, The People's Pantry",146,347.626,1,115,629.18,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 6NL,53.802733,-1.494157
Day centre / Drop in centre,People with drug or alcohol addiction,Trinity Mission Castleford CIO,49.8,118.5738,1,115,155.38,2022,-1.413575,53.533241,Fruit,S73 8HA,WF10 1DZ,53.725007,-1.354036
Day centre / Drop in centre,People with drug or alcohol addiction,Trinity Mission Castleford CIO,86.1,205.0041,1,115,360.29,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF10 1DZ,53.725007,-1.354036
Day centre / Drop in centre,People with drug or alcohol addiction,Trinity Mission Castleford CIO,98.5,234.5285,1,115,645.00,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF10 1DZ,53.725007,-1.354036
Day centre / Drop in centre,People with drug or alcohol addiction,Trinity Mission Castleford CIO,58.5,139.2885,1,115,379.10,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF10 1DZ,53.725007,-1.354036
Food service only,People with mental health problems,Cafe Leep,0,0,1,115,42.84,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 1AB,53.808597,-1.532078
Food service only,People with mental health problems,Cafe Leep,16,38.096,1,115,49.92,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS7 1AB,53.808597,-1.532078
Food service only,People with mental health problems,Cafe Leep,101.3,241.1953,1,115,444.59,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 1AB,53.808597,-1.532078
Food service only,People with mental health problems,Cafe Leep,26,61.906,1,115,185.64,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS7 1AB,53.808597,-1.532078
Community centre,The local community,Armley Action Team,96.1,228.8141,1,115,585.28,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS12 3UF,53.797048,-1.591475
Community centre,The local community,Armley Action Team,106,252.386,1,115,482.81,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS12 3UF,53.797048,-1.591475
Community centre,The local community,Birstall Community Centre (Howden Clough),12.8,30.4768,1,115,39.94,2022,-1.413575,53.533241,Fruit,S73 8HA,WF17 0HY,53.737284,-1.639115
Community centre,The local community,Birstall Community Centre (Howden Clough),67.9,161.6699,1,115,330.42,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF17 0HY,53.737284,-1.639115
Community centre,The local community,Birstall Community Centre (Howden Clough),34.2,81.4302,1,115,106.70,2023,-1.413575,53.533241,Fruit,S73 8HA,WF17 0HY,53.737284,-1.639115
Community centre,The local community,Birstall Community Centre (Howden Clough),123.8,294.7678,1,115,742.80,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF17 0HY,53.737284,-1.639115
Community centre,The local community,Birstall Community Centre (Howden Clough),27,64.287,1,115,151.26,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF17 0HY,53.737284,-1.639115
Faith organisation,The local community,Bradford Salvation Army Lunch Club,11.5,27.3815,1,115,35.88,2022,-1.413575,53.533241,Fruit,S73 8HA,BD6 1NS,53.766764,-1.768901
Faith organisation,The local community,Bradford Salvation Army Lunch Club,57.6,137.1456,1,115,200.62,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD6 1NS,53.766764,-1.768901
Faith organisation,The local community,Bradford Salvation Army Lunch Club,62.8,149.5268,1,115,195.94,2023,-1.413575,53.533241,Fruit,S73 8HA,BD6 1NS,53.766764,-1.768901
Faith organisation,The local community,Bradford Salvation Army Lunch Club,91.4,217.6234,1,115,652.01,2023,-1.413575,53.533241,Vegetable,S73 8HA,BD6 1NS,53.766764,-1.768901
Faith organisation,The local community,Bradford Salvation Army Lunch Club,55.4,131.9074,1,115,395.56,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD6 1NS,53.766764,-1.768901
Community centre,The local community,Café West,36,85.716,1,115,112.32,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD15 7PA,53.800961,-1.82035
Community centre,The local community,Café West,96.8,230.4808,1,115,385.75,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD15 7PA,53.800961,-1.82035
Community centre,The local community,Café West,28.2,67.1442,1,115,87.98,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD15 7PA,53.800961,-1.82035
Community centre,The local community,Café West,174.8,416.1988,1,115,737.20,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD15 7PA,53.800961,-1.82035
Community centre,The local community,Café West,114.89,273.55309,1,115,534.89,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD15 7PA,53.800961,-1.82035
Community centre,The local community,Cafe West YSH,80.3,191.1943,1,115,492.94,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD15 7PA,53.800961,-1.82035
Community centre,The local community,Cafe West YSH,143.48,341.62588,1,115,"1,024.45",2023,-1.413575,53.533241,Vegetable,S73 8HA,BD15 7PA,53.800961,-1.82035
Community centre,The local community,Cafe West YSH,23.2,55.2392,1,115,165.65,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD15 7PA,53.800961,-1.82035
Training centre,The local community,Community Values CIC,70.6,168.0986,1,115,465.49,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 2LF,53.775498,-1.517317
Training centre,The local community,Community Values CIC,129,307.149,1,115,921.06,2023,-1.413575,53.533241,Vegetable,S73 8HA,LS10 2LF,53.775498,-1.517317
Training centre,The local community,Community Values CIC,5.8,13.8098,1,115,18.10,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 2LF,53.775498,-1.517317
Training centre,The local community,Community Values CIC,114.6,272.8626,1,115,478.15,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 2LF,53.775498,-1.517317
Training centre,The local community,Community Values CIC,43.948,104.640188,1,115,313.79,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS10 2LF,53.775498,-1.517317
Faith organisation,The local community,"Connecting Crossgates ""Community Fridge""",16.8,40.0008,1,115,60.46,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS15 8JH,53.811764,-1.444768
Faith organisation,The local community,"Connecting Crossgates ""Community Fridge""",33.4,79.5254,1,115,104.21,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS15 8JH,53.811764,-1.444768
Faith organisation,The local community,"Connecting Crossgates ""Community Fridge""",168,400.008,1,115,813.39,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS15 8JH,53.811764,-1.444768
Faith organisation,The local community,"Connecting Crossgates ""Community Fridge""",5.8,13.8098,1,115,18.10,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS15 8JH,53.811764,-1.444768
Faith organisation,The local community,"Connecting Crossgates ""Community Fridge""",235.6,560.9636,1,115,"1,374.60",2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS15 8JH,53.811764,-1.444768
Community centre,The local community,Connecting Crossgates HH (Crossgates),25.5,60.7155,1,115,79.56,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS15 8QR,53.807633,-1.451059
Community centre,The local community,Connecting Crossgates HH (Crossgates),19.2,45.7152,1,115,59.90,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS15 8QR,53.807633,-1.451059
Community centre,The local community,Eastmoor Community Project,22.8,54.2868,1,115,71.14,2023,-1.413575,53.533241,Fruit,S73 8HA,WF1 4RR,53.68874,-1.479863
Community centre,The local community,Eastmoor Community Project,139.6,332.3876,1,115,793.37,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF1 4RR,53.68874,-1.479863
Community centre,The local community,Eastmoor Community Project,83.164,198.013484,1,115,544.75,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF1 4RR,53.68874,-1.479863
Food service only,The local community,Family Action Richmond Hill Academy,24.15,57.50115,1,115,97.66,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 8PN,53.792507,-1.52034
Food service only,The local community,FoodCycle Harehills,11.6,27.6196,1,115,36.19,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS8 5QD,53.812262,-1.520282
Food service only,The local community,FoodCycle Harehills,127.8,304.2918,1,115,566.77,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS8 5QD,53.812262,-1.520282
Food service only,The local community,HOPE Community Project (Pantry),16,38.096,1,115,49.92,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS15 0AY,53.791783,-1.484585
Food service only,The local community,HOPE Community Project (Pantry),121.3,288.8153,1,115,473.47,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS15 0AY,53.791783,-1.484585
Food service only,The local community,HOPE Community Project (Pantry),20.4,48.5724,1,115,63.65,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS15 0AY,53.791783,-1.484585
Food service only,The local community,HOPE Community Project (Pantry),157.5,375.0075,1,115,666.75,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS15 0AY,53.791783,-1.484585
Food service only,The local community,HOPE Community Project (Pantry),131,311.911,1,115,542.18,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS15 0AY,53.791783,-1.484585
Food service only,The local community,Hope Community Project (YSH),45.2,107.6212,1,115,242.33,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS15 0AY,53.791783,-1.484585
Food service only,The local community,Hope Community Project (YSH),224.88,535.43928,1,115,"1,565.44",2023,-1.413575,53.533241,Vegetable,S73 8HA,LS15 0AY,53.791783,-1.484585
Food service only,The local community,Hope Community Project (YSH),20,47.62,1,115,142.80,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS15 0AY,53.791783,-1.484585
Food service only,The local community,Lightwaves Community Trust,32.6,77.6206,1,115,101.71,2022,-1.413575,53.533241,Fruit,S73 8HA,WF1 3LJ,53.686823,-1.498223
Food service only,The local community,Lightwaves Community Trust,78.9,187.8609,1,115,292.80,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF1 3LJ,53.686823,-1.498223
Food service only,The local community,Lightwaves Community Trust,22.8,54.2868,1,115,71.14,2023,-1.413575,53.533241,Fruit,S73 8HA,WF1 3LJ,53.686823,-1.498223
Food service only,The local community,Lightwaves Community Trust,91.7,218.3377,1,115,542.98,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF1 3LJ,53.686823,-1.498223
Food service only,The local community,Lightwaves Community Trust,33.4,79.5254,1,115,199.88,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF1 3LJ,53.686823,-1.498223
Food service only,The local community,Love in a Box Leeds,195.55,465.60455,1,115,674.89,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS3 1JX,53.802846,-1.566047
Food service only,The local community,Love in a Box Leeds,44,104.764,1,115,273.96,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS3 1JX,53.802846,-1.566047
Food service only,The local community,Love in a Box Leeds,53.2,126.6692,1,115,151.01,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS3 1JX,53.802846,-1.566047
Food service only,The local community,Love in a Box Leeds,202.7,482.6287,1,115,982.32,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS3 1JX,53.802846,-1.566047
Food service only,The local community,Love in a Box Leeds,207.38,493.77178,1,115,"1,485.97",2023,-1.413575,53.533241,Vegetable,S73 8HA,LS3 1JX,53.802846,-1.566047
Community centre,The local community,Lower Grange Community Association,22.4,53.3344,1,115,69.89,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD8 0RF,53.795582,-1.817276
Community centre,The local community,Lower Grange Community Association,158.6,377.6266,1,115,512.17,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD8 0RF,53.795582,-1.817276
Community centre,The local community,Lower Grange Community Association,42.4,100.9544,1,115,132.29,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD8 0RF,53.795582,-1.817276
Community centre,The local community,Lower Grange Community Association,177.7,423.1037,1,115,852.42,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD8 0RF,53.795582,-1.817276
Community centre,The local community,Lower Grange Community Association,5.8,13.8098,1,115,18.10,2024,-1.551651,53.790612,Fruit,LS11 5JJ,BD8 0RF,53.795582,-1.817276
Community centre,The local community,Lower Grange Community Association,150.2,357.6262,1,115,736.12,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD8 0RF,53.795582,-1.817276
Community centre,The local community,Lower Grange Community Association,22.9,54.5249,1,115,163.51,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD8 0RF,53.795582,-1.817276
Day centre / Drop in centre,The local community,LS14 Trust Pantry,16,38.096,1,115,49.92,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS14 1BT,53.827603,-1.468619
Day centre / Drop in centre,The local community,LS14 Trust Pantry,138.1,328.8161,1,115,615.63,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS14 1BT,53.827603,-1.468619
Day centre / Drop in centre,The local community,LS14 Trust Pantry,48.1,114.5261,1,115,303.23,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS14 1BT,53.827603,-1.468619
Day centre / Drop in centre,The local community,LS14 Trust Pantry,50.4,120.0024,1,115,157.25,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS14 1BT,53.827603,-1.468619
Day centre / Drop in centre,The local community,LS14 Trust Pantry,291.15,693.22815,1,115,"1,374.32",2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS14 1BT,53.827603,-1.468619
Day centre / Drop in centre,The local community,LS14 Trust Pantry,87.5,208.3375,1,115,624.75,2023,-1.413575,53.533241,Vegetable,S73 8HA,LS14 1BT,53.827603,-1.468619
Day centre / Drop in centre,The local community,LS14 Trust Pantry,11.6,27.6196,1,115,36.19,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS14 1BT,53.827603,-1.468619
Day centre / Drop in centre,The local community,LS14 Trust Pantry,156.1,371.6741,1,115,764.01,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS14 1BT,53.827603,-1.468619
Day centre / Drop in centre,The local community,LS14 Trust Pantry,46.764,111.345084,1,115,385.30,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS14 1BT,53.827603,-1.468619
Food service only,The local community,New Wortley Com Centre,26,61.906,1,115,81.12,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS12 1LZ,53.792006,-1.578591
Food service only,The local community,New Wortley Com Centre,116.4,277.1484,1,115,370.80,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS12 1LZ,53.792006,-1.578591
Food service only,The local community,New Wortley Com Centre,27.4,65.2394,1,115,85.49,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS12 1LZ,53.792006,-1.578591
Food service only,The local community,New Wortley Com Centre,195.4,465.2474,1,115,991.77,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS12 1LZ,53.792006,-1.578591
Food service only,The local community,New Wortley Com Centre,33.4,79.5254,1,115,104.21,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS12 1LZ,53.792006,-1.578591
Food service only,The local community,New Wortley Com Centre,159.8,380.4838,1,115,639.28,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS12 1LZ,53.792006,-1.578591
