date,geography,geography code,Distance travelled to work: Total: All usual residents aged 16 years and over in employment the week before the census,Distance travelled to work: Less than 2km,Distance travelled to work: 2km to less than 5km,Distance travelled to work: 5km to less than 10km,Distance travelled to work: 10km to less than 20km,Distance travelled to work: 20km to less than 30km,Distance travelled to work: 30km to less than 40km,Distance travelled to work: 40km to less than 60km,Distance travelled to work: 60km and over,Distance travelled to work: Works mainly from home,"Distance travelled to work: Works mainly at an offshore installation, in no fixed place, or outside the UK"
2021,Welwyn Hatfield,E07000241,58149,6906,5628,5156,6270,2863,1420,451,428,21001,8026
2021,East Hertfordshire,E07000242,76527,6833,4480,6479,8345,3699,2774,1595,421,31278,10623
2021,Stevenage,E07000243,45460,5542,7476,2617,4278,1991,1388,1312,307,12876,7673
2021,East Suffolk,E07000244,106366,13979,11448,9105,13015,4367,3391,3432,2799,27774,17056
2021,West Suffolk,E07000245,89619,13525,8397,6553,10771,9094,2798,2137,1520,21104,13720
2021,Somerset West and Taunton,E07000246,73293,12175,8609,5857,7310,3701,2368,1268,1485,19392,11128
2021,Bolton,E08000001,125437,15111,20309,17711,14225,5699,1002,593,1106,29568,20113
2021,Bury,E08000002,88483,9801,11859,13467,10454,2261,618,580,737,26579,12127
2021,Manchester,E08000003,234287,28238,39156,35535,17342,3211,1758,2232,3140,73964,29711
2021,Oldham,E08000004,98208,13138,17675,15256,9876,2317,1169,867,944,20903,16063
2021,Rochdale,E08000005,94456,12367,15850,15092,10392,3000,1025,695,964,20151,14920
2021,Salford,E08000006,127604,16966,20115,17005,12484,2598,1092,1011,1319,39039,15975
2021,Stockport,E08000007,139806,13182,19955,20186,14211,1993,815,1071,1112,50157,17124
2021,Tameside,E08000008,105654,12419,17406,17283,12293,1747,772,801,911,25970,16052
2021,Trafford,E08000009,111556,9724,14627,15256,9956,2121,864,923,955,45450,11680
2021,Wigan,E08000010,154615,17195,21538,22456,20660,8266,2384,649,1495,34432,25540
2021,Knowsley,E08000011,69494,7623,9779,13422,9465,1206,603,556,710,14880,11250
2021,Liverpool,E08000012,205753,24023,38963,35699,15132,4026,1052,2374,2391,53721,28372
2021,St. Helens,E08000013,82623,8428,13414,12468,11439,3079,1496,378,779,18973,12169
2021,Sefton,E08000014,124597,14520,15944,14452,15818,6454,1669,1233,1174,34750,18583
2021,Wirral,E08000015,139503,14177,21803,23925,14991,4459,1099,1277,1641,37299,18832
2021,Barnsley,E08000016,111681,11844,15670,17395,16906,5746,1353,714,1291,22340,18422
2021,Doncaster,E08000017,137859,15107,19924,22414,17756,7327,2960,2014,2135,25503,22719
2021,Rotherham,E08000018,117805,10991,16097,20778,17958,3297,1308,1414,1457,24750,19755
2021,Sheffield,E08000019,242007,26487,42659,40297,18253,4706,2137,2384,2886,69654,32544
2021,Newcastle upon Tyne,E08000021,125078,14494,23425,18936,8795,2430,596,1110,2172,37529,15591
2021,North Tyneside,E08000022,97264,9667,15154,15781,10744,1126,496,588,1218,30738,11752
2021,South Tyneside,E08000023,62505,7053,10322,11382,6771,1082,227,504,919,14779,9466
2021,Sunderland,E08000024,117151,13789,20071,19596,14598,2222,1225,532,1408,27418,16292
2021,Birmingham,E08000025,442418,44638,72746,77482,43586,11183,4907,3655,7021,114058,63142
2021,Coventry,E08000026,150142,17375,28940,20030,13613,7386,1979,1367,2320,38674,18458
2021,Dudley,E08000027,144640,15801,26910,24364,16564,3469,1130,889,1396,31434,22683
2021,Sandwell,E08000028,141071,15744,28398,27685,13427,2812,1519,1461,2009,26347,21669
2021,Solihull,E08000029,97939,6991,12004,14712,11189,3590,916,498,1236,35366,11437
2021,Walsall,E08000030,118531,13564,19909,20290,16610,3248,1228,1122,1376,22044,19140
2021,Wolverhampton,E08000031,111312,13579,22477,16659,10977,6431,1185,1153,1664,21002,16185
2021,Bradford,E08000032,221139,28842,38445,30777,24935,5737,1476,1581,1952,55396,31998
2021,Calderdale,E08000033,93381,11434,13584,12785,9424,3282,1098,592,803,27280,13099
2021,Kirklees,E08000034,190086,22942,29011,25937,23816,6373,2295,1245,1650,49908,26909
2021,Leeds,E08000035,374064,37863,53123,54340,35846,9256,2959,2279,4622,126585,47191
2021,Wakefield,E08000036,164641,18463,22509,23212,27684,6980,2379,956,1762,36965,23731
2021,Gateshead,E08000037,87519,9378,14840,15288,9377,1742,441,574,957,23427,11495
2021,City of London,E09000001,5348,676,385,241,82,15,7,9,28,3602,303
2021,Barking and Dagenham,E09000002,94589,6478,11954,11182,16820,4677,1056,594,1032,19572,21224
2021,Barnet,E09000003,186176,12676,15501,23510,22122,2294,795,619,1162,79628,27869
2021,Bexley,E09000004,117984,7959,13246,13754,15404,4488,1014,591,835,40692,20001
2021,Brent,E09000005,160994,13873,23212,23900,16535,2057,623,566,1478,48987,29763
2021,Bromley,E09000006,162122,9359,13633,15786,19654,4464,1046,495,841,75511,21333
2021,Camden,E09000007,102513,9572,11530,9350,2928,562,192,247,593,58110,9429
2021,Croydon,E09000008,189407,13941,19863,23782,24188,4639,1006,797,1175,70976,29040
2021,Ealing,E09000009,175023,14152,20953,25070,18816,2623,704,687,1218,63137,27663
2021,Enfield,E09000010,143864,12252,17946,16531,20771,3068,1049,602,1073,44977,25595
2021,Greenwich,E09000011,142934,9067,13805,17879,19159,2135,1090,618,1164,57959,20058
2021,Hackney,E09000012,134311,13715,16334,15674,5068,843,319,370,724,66844,14420
