date,geography,geography code,Gender identity: Total: All usual residents aged 16 years and over,Gender identity: Gender identity the same as sex registered at birth,Gender identity: Gender identity different from sex registered at birth but no specific identity given,Gender identity: Trans woman,Gender identity: Trans man,Gender identity: Non-binary,Gender identity: All other gender identities,Gender identity: Not answered
2021,Swansea,W06000011,197858,184173,320,146,160,156,82,12821
2021,Neath Port Talbot,W06000012,117181,109416,171,69,97,52,24,7352
2021,Bridgend,W06000013,119482,112789,139,70,63,27,28,6366
2021,Vale of Glamorgan,W06000014,107458,101516,107,68,108,65,35,5559
2021,Cardiff,W06000015,296312,275218,732,388,350,426,204,18994
2021,Rhondda Cynon Taff,W06000016,193843,181606,281,128,134,97,57,11540
2021,Caerphilly,W06000018,143485,135054,182,81,102,58,38,7970
2021,Blaenau Gwent,W06000019,55144,51450,72,35,44,18,3,3522
2021,Torfaen,W06000020,75115,70419,95,35,51,24,17,4474
2021,Monmouthshire,W06000021,78237,73613,92,54,32,26,20,4400
2021,Newport,W06000022,127426,119038,465,125,130,50,34,7584
2021,Powys,W06000023,112536,104329,140,73,54,48,45,7847
2021,Merthyr Tydfil,W06000024,47676,44933,98,31,34,9,8,2563
